Name	Degree	NorDegree
e-coupon	1	0.493290734824
NailSalon	1	0.020447284345
ShuangHe	1	0.218530351438
Lifeismoney	2	0.21661341853
CVS	1	0.088178913738
Road_Running	1	0.0913738019169
Daan	1	0.120766773163
Zhongshan	1	0.0728434504792
Policy	1	0.023642172524
politics	1	0.483706070288
barterbooks	1	0.782108626198
WomenTalk	1	3.19616613419
basketball	2	0.00255591054313
Anchors	1	0.00511182108626
Food	9	0.792971246006
I-Lan	2	0.117571884984
give	3	0.760383386581
BuyTogether	3	0.613418530351
LoL	1	2.79744408946
IC-Card	1	0.0690095846645
Volunteer	1	0.0121405750799
GetMarry	1	0.146325878594
BigShiLin	9	0.0964856230032
CS_TEACHER	1	0.0121405750799
Windows	1	0.0670926517572
PC_Shopping	2	0.240255591054
Hsinchu	1	0.42428115016
TamShui	2	0.0191693290735
BabyMother	2	0.345047923323
Gossiping	16	19.1233226837
Nangang	1	0.0817891373802
Neihu	6	0.326517571885
TaichungBun	1	0.651757188498
HatePolitics	3	2.15463258786
car	1	0.631309904153
dog	2	0.115654952077
part-time	2	0.385942492013
ChangHua	2	0.288817891374
forsale	11	12.2313099042
HelpBuy	1	2.21916932907
car-pool	2	0.102875399361
