Name	Degree	NorDegree
ck51st305	3	0.00191693290735
Gov_owned	1	0.0127795527157
DiabloEX	1	0.0632587859425
home-sale	8	0.364217252396
GossipPicket	1	0.800638977636
Libra	1	0.0536741214058
Lions	1	2.00319488818
japanavgirls	1	0.18338658147
Test	5	1.41725239617
PublicServan	1	0.0402555910543
WomenTalk	52	3.19616613419
Aquarius	1	0.0453674121406
Taurus	1	0.0178913738019
Diary	1	0.996805111821
Salary	7	0.357827476038
TuCheng	1	0.0658146964856
BeautySalon	1	0.108626198083
Gossiping	274	19.1233226837
Steam	20	0.237060702875
AllTogether	5	1.08370607029
baking	1	0.05303514377
HatePolitics	29	2.15463258786
Sad	1	0.184664536741
V_ScHooL	1	0.0773162939297
Hate	56	11.3265175719
cksh77th01	9	0.0115015974441
e-coupon	2	0.493290734824
juniorhigh	1	0.0741214057508
ShuangHe	1	0.218530351438
sex	13	1.20830670927
adulation	2	0.0357827476038
cookclub	1	0.0932907348243
StupidClown	1	0.259424920128
MenTalk	14	2.14760383387
movie	2	1.67987220447
studyteacher	1	0.0210862619808
Korea_Travel	1	0.0849840255591
ForeignEX	1	0.0396166134185
funeral	1	0.00575079872204
Key_Mou_Pad	1	0.111182108626
BabyMother	2	0.345047923323
LeicesterCFC	1	0.0958466453674
Doctor-Info	1	0.0274760383387
TaichungBun	3	0.651757188498
joke	5	1.13865814696
CFantasy	1	0.274760383387
love	1	0.00894568690096
PlayStation	6	0.390415335463
Scorpio	1	0.0651757188498
Virgo	1	0.0447284345048
ask	1	0.564217252396
MobileComm	5	0.94249201278
DIABLO	1	0.0670926517572
Sagittarius	1	0.0798722044728
Militarylife	1	0.42875399361
feminine_sex	1	0.00766773162939
LoL	4	2.79744408946
Zombie	1	0.0198083067093
Baseball	23	4.78274760383
MiamiHeat	1	0.851118210863
CATCH	3	0.0907348242812
NBA	2	1.9303514377
Wanted	17	8.00511182109
Monkeys	4	2.71182108626
Isayama	1	0.00702875399361
GTA	2	0.0217252396166
Tech_Job	5	0.337380191693
gay	2	0.157188498403
Eng-Class	3	0.109265175719
wisdom	1	0.0159744408946
Francais	1	0.0172523961661
ChineseMed	1	0.0166134185304
JD_Lover	1	0.00319488817891
Suit_Style	1	0.00958466453674
car	1	0.631309904153
NTU	1	0.895207667732
SENIORHIGH	2	0.157827476038
marriage	17	0.215335463259
heart	2	0.515654952077
fashion	1	0.0140575079872
SportsShop	1	0.15910543131
Transfer	1	0.0121405750799
Drama-Ticket	1	1.39808306709
CVS	4	0.088178913738
fatworld	5	0.00511182108626
Capricornus	1	0.0549520766773
Stock	9	0.550159744409
Language	1	0.0242811501597
Road_Running	1	0.0913738019169
Hunter	1	0.172523961661
creditcard	1	0.286261980831
book	1	0.10607028754
Hearthstone	1	0.349520766773
Teacher	1	0.0926517571885
Shu-Lin	1	0.0472843450479
KTV	1	0.0364217252396
JapanStudy	1	0.00894568690096
forsale	1	12.2313099042
give	3	0.760383386581
TW-language	2	0.0594249201278
DummyHistory	1	0.14249201278
SportLottery	8	0.194249201278
Pisces	1	0.0466453674121
DistantLove	2	0.00638977635783
talk	2	3.15335463259
marvel	1	0.175079872204
