Name	Degree	NorDegree
SuperJunior	2	0.361022364217
TaiwanDrama	34	0.77571884984
Kaohsiung	1	1.02747603834
Olympics_ISG	1	0.141853035144
CrossStrait	1	0.502875399361
KoreanPop	20	0.57571884984
TWICE	16	0.525878594249
APINK	18	0.418530351438
BlockB	2	0.194249201278
I.O.I	2	0.129073482428
TW_Entertain	4	0.0511182108626
movie	2	1.67987220447
Baseball	2	4.78274760383
Wanted	1	8.00511182109
YGFamily	2	0.251757188498
Monkeys	7	2.71182108626
Gossiping	7	19.1233226837
Military	2	0.279872204473
AllTogether	1	1.08370607029
SEVENTEEN	26	0.469009584665
SuperStar	2	0.00127795527157
HatePolitics	1	2.15463258786
dog	1	0.115654952077
BaseballXXXX	8	0.823642172524
VIXX	12	0.260063897764
