Name	Degree	NorDegree
TAXI	2	0.0722044728435
home-sale	1	0.364217252396
Lifeismoney	1	0.21661341853
CrossStrait	5	0.502875399361
biker	6	0.367412140575
PttNewhand	2	0.0594249201278
Examination	1	0.208306709265
Test	3	1.41725239617
WomenTalk	5	3.19616613419
Yunlin	2	0.0741214057508
Ecophilia	7	0.109904153355
sky	7	0.115015974441
Boy-Girl	1	0.451757188498
PublicIssue	2	0.442172523962
KingdomHuang	2	0.0198083067093
Salary	1	0.357827476038
MRT	11	0.442172523962
historia	3	0.336102236422
iPhone	3	0.254313099042
Gossiping	197	19.1233226837
Military	12	0.279872204473
Steam	1	0.237060702875
Taipei	2	0.254952076677
AllTogether	1	1.08370607029
HatePolitics	6	2.15463258786
MLBGAME	1	0.00191693290735
car	3	0.631309904153
Agriculture	5	0.102236421725
juniorhigh	4	0.0741214057508
TaiwanDrama	3	0.77571884984
Olympics_ISG	7	0.141853035144
sex	2	1.20830670927
Kaohsiung	4	1.02747603834
AC_In	2	0.222364217252
Facebook	10	0.0785942492013
Korea_Travel	2	0.0849840255591
Aviation	2	0.453674121406
WOW	2	0.153993610224
C_Chat	26	2.8249201278
PH-sea	2	0.0453674121406
TaichungBun	1	0.651757188498
China_travel	1	0.0939297124601
Hate	2	11.3265175719
Jinmen	1	0.038338658147
need_student	1	0.0185303514377
ToS	4	0.0996805111821
Navy	4	0.0581469648562
MobileComm	4	0.94249201278
toberich	2	0.0945686900958
Beauty	1	0.750159744409
Bus	7	0.182108626198
GUNDAM	1	0.029392971246
LoL	127	2.79744408946
Baseball	10	4.78274760383
CATCH	2	0.0907348242812
Post	2	0.146325878594
Warfare	3	0.0715654952077
tax	2	0.067731629393
TW-language	1	0.0594249201278
Hsinchu	2	0.42428115016
TY_Research	3	0.174440894569
Road	17	0.198083067093
gallantry	8	0.0945686900958
V_ScHooL	2	0.0773162939297
joke	7	1.13865814696
PingTung	1	0.141214057508
PublicBike	3	0.0543130990415
swim	7	0.100319488818
Oceanography	4	0.0658146964856
Tennis	3	0.145047923323
Gulong	1	0.000638977635783
Suckcomic	2	0.148242811502
Soccer	5	0.353993610224
Stock	4	0.550159744409
Cga	7	0.0549520766773
graduate	5	0.0702875399361
Germany	4	0.0108626198083
PC_Shopping	2	0.240255591054
Hearthstone	1	0.349520766773
Teacher	1	0.0926517571885
Tainan	21	1.17252396166
EarthScience	2	0.0453674121406
basketballTW	2	0.0447284345048
IA	5	1.37380191693
Railway	5	0.600638977636
AirForce	2	0.0472843450479
Taoyuan	2	0.347603833866
Badminton	4	0.11054313099
ChangHua	2	0.288817891374
CFP	2	0.0242811501597
