Name	Degree	NorDegree
SuperJunior	91	0.361022364217
give	1	0.760383386581
LOVE-EDDY	1	0.0121405750799
Test	1	1.41725239617
irons	1	0.0121405750799
Roy	2	0.0230031948882
CN_Entertain	130	1.00575079872
Leehom	1	0.0121405750799
Diary	5	0.996805111821
yoyo	1	0.0121405750799
Fallinlove	1	0.0121405750799
iamjoe619	1	0.0121405750799
JamesWen	1	0.0121405750799
HAO-SHIANG	1	0.0121405750799
MeganLai	130	0.192971246006
Nylon	2	0.0230031948882
ekin_ho	1	0.0121405750799
Crowd	1	0.0313099041534
LEGO	1	0.0121405750799
KingOne	1	0.495207667732
Bii	1	0.0134185303514
DT_Board	1	0.0121405750799
