Name	Degree	NorDegree
e-coupon	1	0.493290734824
PlayStation	1	0.390415335463
TaiwanDrama	1	0.77571884984
TPC_Police	1	0.00958466453674
SportsShop	1	0.15910543131
Lifeismoney	2	0.21661341853
sex	1	1.20830670927
backQuarter	1	0.00958466453674
MenTalk	21	2.14760383387
Live	1	0.19552715655
RESIT	3	0.0127795527157
LoL	8	2.79744408946
mobile-game	1	0.038338658147
Test	6	1.41725239617
KanColle	3	0.248562300319
barterbooks	2	0.782108626198
WeiBird	1	0.0242811501597
WomenTalk	5	3.19616613419
HelpBuy	1	2.21916932907
StupidClown	7	0.259424920128
HomeTeach	1	0.0332268370607
ToS	2	0.0996805111821
give	1	0.760383386581
WindowsPhone	2	0.102875399361
MacShop	1	0.684984025559
TaichungBun	2	0.651757188498
V_ScHooL	2	0.0773162939297
NCHUS	2	0.0607028753994
Baseball	1	4.78274760383
Hearthstone	4	0.349520766773
Mabinogi	1	0.00702875399361
Wanted	1	8.00511182109
Teacher	1	0.0926517571885
medstudent	1	0.0785942492013
ChungLi	1	0.131629392971
gay	1	0.157188498403
poem	3	0.0357827476038
PC_Shopping	2	0.240255591054
TW-language	1	0.0594249201278
C_Chat	3	2.8249201278
Yunlin	2	0.0741214057508
Gossiping	63	19.1233226837
Chiayi	1	0.113099041534
Steam	1	0.237060702875
FBaseball	1	0.0485623003195
AllTogether	1	1.08370607029
forsale	2	12.2313099042
Elephants	1	7.60063897764
joke	6	1.13865814696
NTU	4	0.895207667732
biker	5	0.367412140575
Taoyuan	1	0.347603833866
ask	3	0.564217252396
Design	1	0.0683706070288
Boy-Girl	2	0.451757188498
ChangHua	2	0.288817891374
MobileComm	1	0.94249201278
SuperBike	2	0.0466453674121
Hate	46	11.3265175719
talk	1	3.15335463259
