Name	Degree	NorDegree
PlayStation	3	0.390415335463
biker	1	0.367412140575
Palmar_Drama	4	0.834504792332
nb-shopping	2	0.214696485623
Militarylife	1	0.42875399361
StarWars	1	0.00191693290735
DigiCurrency	4	0.0428115015974
Powerful_PRO	1	0.020447284345
Live	55	0.19552715655
MobileComm	4	0.94249201278
Kaohsiung	4	1.02747603834
AC_In	1	0.222364217252
Aves	4	0.0281150159744
NDS	2	0.0198083067093
Pet_Get	1	0.0242811501597
WomenTalk	4	3.19616613419
Gamesale	15	0.915654952077
medstudent	1	0.0785942492013
SENIORHIGH	1	0.157827476038
Food	1	0.792971246006
ToS	1	0.0996805111821
NCU_Talk	1	0.0300319488818
Boy-Girl	20	0.451757188498
LoL	2	2.79744408946
XBOX	2	0.0492012779553
ClashRoyale	1	0.0856230031949
Baseball	5	4.78274760383
Hearthstone	4	0.349520766773
NARUTO	1	0.0134185303514
Wanted	2	8.00511182109
Monkeys	2	2.71182108626
Perfume_Shop	6	0.251118210863
Salary	1	0.357827476038
OverWatch	3	0.135463258786
mobilesales	3	0.683067092652
MercStoria	2	0.00255591054313
PC_Shopping	4	0.240255591054
WOW	2	0.153993610224
Army-Sir	1	0.00255591054313
C_Chat	15	2.8249201278
StupidClown	2	0.259424920128
Key_Mou_Pad	2	0.111182108626
iPhone	3	0.254313099042
BabyMother	1	0.345047923323
Gossiping	99	19.1233226837
Atletico	1	0.291373801917
PttEarnMoney	32	9.04856230032
Shooter-game	3	0.00894568690096
FORMULA1	1	0.134185303514
AOA	2	0.102875399361
joke	4	1.13865814696
Stock	2	0.550159744409
dog	1	0.115654952077
BaseballXXXX	7	0.823642172524
Browsers	2	0.0517571884984
ID_Problem	1	0.143769968051
PingTung	1	0.141214057508
AviationGame	1	0.000638977635783
HelpBuy	15	2.21916932907
Modchip	2	0.00575079872204
Emulator	1	0.0255591054313
