Name	Degree	NorDegree
Sub_DigiTech	2	0.0108626198083
SYSOP	2	0.0313099041534
ComGame-Plan	1	0.00511182108626
Paramore	2	0.0108626198083
GambleGhost	2	72.7188498403
PC_Shopping	1	0.240255591054
haiku	2	0.0613418530351
MacShop	1	0.684984025559
VideoCard	1	0.0300319488818
ID_Multi	1	0.104792332268
hardware	2	0.0543130990415
L_TalkandCha	8	0.246645367412
Board-Police	10	0.0562300319489
Key_Mou_Pad	1	0.111182108626
L_LifeInfo	2	0.014696485623
Test	2	1.41725239617
chicken	2	0.0230031948882
einvoice	2	0.0619808306709
