Name	Degree	NorDegree
give	1	0.760383386581
equal_change	1	0.494568690096
NCUT	1	0.0242811501597
Food	7	0.792971246006
photo-buy	1	0.0428115015974
NCHUS	1	0.0607028753994
Badminton	1	0.11054313099
travel	1	0.452396166134
Web_Design	1	0.00958466453674
Wanted	1	8.00511182109
Ind-travel	1	0.243450479233
Hsinchu	2	0.42428115016
friends	1	0.328434504792
TaichungBun	8	0.651757188498
AllTogether	1	1.08370607029
forsale	29	12.2313099042
Snacks	1	0.0191693290735
e-seller	1	0.0255591054313
Taoyuan	2	0.347603833866
FengYuan	1	0.014696485623
part-time	1	0.385942492013
points	1	0.0696485623003
Japan_Travel	2	0.669009584665
HelpBuy	1	2.21916932907
HardwareSale	3	0.65303514377
CYUT	1	0.029392971246
