Name	Degree	NorDegree
True-Escape	1	0.00958466453674
DiabloEX	7	0.0632587859425
shoes	1	0.0408945686901
home-sale	42	0.364217252396
Jay	5	0.0325878594249
NewYork	2	0.0607028753994
allergy	1	0.0038338658147
CrossStrait	1	0.502875399361
backQuarter	4	0.00958466453674
biker	2	0.367412140575
Libra	3	0.0536741214058
japanavgirls	4	0.18338658147
Military	2	0.279872204473
Interior	1	0.023642172524
prozac	13	0.102236421725
creditcard	13	0.286261980831
SorryPub	3	0.00255591054313
Pet_boarding	2	0.0134185303514
ai-photo	3	0.00575079872204
WomenTalk	128	3.19616613419
littlegift	5	0.0376996805112
photo-buy	10	0.0428115015974
Aquarius	13	0.0453674121406
CCRomance	1	0.00191693290735
Boy-Girl	17	0.451757188498
XBOX	16	0.0492012779553
dance	4	0.0102236421725
Diary	161	0.996805111821
Starbucks	1	0.00766773162939
Android	3	0.108626198083
SpaceArt	2	0.0102236421725
marriage	1	0.215335463259
Salary	13	0.357827476038
ChungLi	4	0.131629392971
Sagittarius	6	0.0798722044728
TuCheng	1	0.0658146964856
BeautySalon	9	0.108626198083
Tea	1	0.0210862619808
TOEIC	4	0.0447284345048
iPhone	7	0.254313099042
Donate-Blood	1	0.0115015974441
Gossiping	783	19.1233226837
baking	4	0.05303514377
Sony-style	1	0.0223642172524
Steam	2	0.237060702875
Taipei	2	0.254952076677
Wine	1	0.0191693290735
AllTogether	1205	1.08370607029
Virgo	1	0.0447284345048
NorthAmerica	1	0.0127795527157
BigSanchung	3	0.175079872204
HatePolitics	31	2.15463258786
Elephants	8	7.60063897764
Math	1	0.0338658146965
TaichungCont	1	0.0460063897764
Aquarium	1	0.0242811501597
Sad	54	0.184664536741
MAC	4	0.0817891373802
UCH	1	0.00575079872204
Pistons	1	0.0108626198083
PU_Family	4	0.0306709265176
LAW	4	0.0543130990415
Hate	7114	11.3265175719
BikerShop	3	0.626837060703
NIT	1	0.0038338658147
e-coupon	2	0.493290734824
PlayStation	2	0.390415335463
TaiwanDrama	2	0.77571884984
hair_loss	1	0.00447284345048
ShuangHe	14	0.218530351438
Zhongzheng	1	0.0389776357827
Bank_Service	1	0.102236421725
Aries	8	0.0511182108626
hypermall	1	0.0434504792332
sex	213	1.20830670927
Test	11	1.41725239617
adulation	2	0.0357827476038
LawsuitSug	5	0.00958466453674
Kaohsiung	42	1.02747603834
Nurse	15	0.0408945686901
cookclub	1	0.0932907348243
mobilesales	9	0.683067092652
Life	3	0.067731629393
Lonely	62	0.222364217252
MenTalk	297	2.14760383387
movie	54	1.67987220447
WorkanTravel	1	0.0562300319489
teeth_salon	2	0.0223642172524
BuyTogether	1	0.613418530351
Leo	4	0.0428115015974
DC_SALE	2	0.156549520767
MacShop	10	0.684984025559
WesternMusic	1	0.0434504792332
FJU	17	0.0191693290735
Aviation	4	0.453674121406
Digital_Art	1	0.00447284345048
KUAS	40	0.0306709265176
OverWatch	1	0.135463258786
street_style	1	0.0274760383387
StudyGroup	16	0.020447284345
FTV	1	0.111821086262
EAseries	1	0.102875399361
funeral	4	0.00575079872204
MakeUp	2	0.0830670926518
Badminton	1	0.11054313099
C_Chat	14	2.8249201278
nmsmusic	1	0.24089456869
Key_Mou_Pad	2	0.111182108626
SYSOP	1	0.0313099041534
ask	42	0.564217252396
Broken-heart	9	0.0274760383387
Doctor-Info	2	0.0274760383387
TaichungBun	74	0.651757188498
hairdo	20	0.0920127795527
China_travel	8	0.0939297124601
DSLR	1	0.0453674121406
Audiophile	18	0.082428115016
joke	9	1.13865814696
study	5	0.0166134185304
Headphone	1	0.101597444089
travelbooks	8	0.0153354632588
Gemini	6	0.029392971246
Design	3	0.0683706070288
NightLife	34	0.0562300319489
postcrossing	3	0.0153354632588
forsale	72	12.2313099042
car-pool	9	0.102875399361
