Name	Degree	NorDegree
lyrics	1	0.884345047923
dance	2	0.0102236421725
EatToDie	1	0.0242811501597
GO	1	1.02044728435
biker	6	0.367412140575
Buddha	1	0.0268370607029
Test	22	1.41725239617
prozac	1	0.102236421725
Bank_Service	1	0.102236421725
WomenTalk	64	3.19616613419
TuCheng	1	0.0658146964856
OralMedicine	1	0.00191693290735
SENIORHIGH	3	0.157827476038
sky	1	0.115015974441
Boy-Girl	1	0.451757188498
CYCU_Talk	3	0.0415335463259
BL	1	0.023642172524
Diary	10	0.996805111821
Aquarium	1	0.0242811501597
Android	1	0.108626198083
piano	1	0.00766773162939
RO	3	0.0217252396166
Salary	4	0.357827476038
Storage_Zone	2	0.0415335463259
NIHONGO	1	0.0428115015974
unemployed	1	0.0300319488818
Men543	4	0.00511182108626
traffic	1	0.00191693290735
pay_home	5	0.0102236421725
FongShan	1	0.0191693290735
iPhone	1	0.254313099042
Mechanical	1	0.0178913738019
Gossiping	177	19.1233226837
Sony-style	1	0.0223642172524
AdvEduUK	1	0.00958466453674
AllTogether	3	1.08370607029
TimmyJohnny	8	0.0261980830671
BigSanchung	1	0.175079872204
Disabled	1	0.0191693290735
Browsers	2	0.0517571884984
Examination	3	0.208306709265
LAW	3	0.0543130990415
Hate	9	11.3265175719
MapleStory	1	0.0153354632588
PlayStation	7	0.390415335463
bicycle	6	0.088178913738
Child_Psy	1	0.023642172524
ShuangHe	2	0.218530351438
chatskill	1	0.00575079872204
hypermall	1	0.0434504792332
sex	5	1.20830670927
Live	1	0.19552715655
LawsuitSug	1	0.00958466453674
sandlot_ball	1	0.023642172524
Kaohsiung	8	1.02747603834
AC_In	4	0.222364217252
Keelung	3	0.073482428115
Mix_Match	1	0.0134185303514
cookclub	6	0.0932907348243
mobilesales	4	0.683067092652
StupidClown	1	0.259424920128
medstudent	3	0.0785942492013
movie	5	1.67987220447
CrossStrait	1	0.502875399361
BuyTogether	1	0.613418530351
Math	1	0.0338658146965
Old-Games	1	0.0715654952077
OverWatch	1	0.135463258786
Theater	1	0.0140575079872
EAseries	1	0.102875399361
WOW	3	0.153993610224
C_Chat	15	2.8249201278
Foreign_Inv	1	0.0038338658147
Key_Mou_Pad	6	0.111182108626
Chemistry	1	0.020447284345
Map-Guide	5	0.00702875399361
Doctor-Info	1	0.0274760383387
TaichungBun	4	0.651757188498
MabinogiHero	1	0.0370607028754
hairdo	7	0.0920127795527
Japan_Travel	3	0.669009584665
China_travel	1	0.0939297124601
DSLR	1	0.0453674121406
MobileComm	6	0.94249201278
joke	27	1.13865814696
study	5	0.0166134185304
Design	1	0.0683706070288
Bus	2	0.182108626198
forsale	24	12.2313099042
RIPE_gender	10	0.029392971246
bicycle-tour	1	0.0159744408946
MOD	2	0.0178913738019
Printer_scan	1	0.00958466453674
e-coupon	1	0.493290734824
juniorhigh	1	0.0741214057508
CLOCA	2	0.0434504792332
Buddhism	1	0.0594249201278
BabyProducts	3	0.972523961661
Board	1	0.00255591054313
FITNESS	9	0.114376996805
asciiart	2	0.020447284345
KanColle	6	0.248562300319
Anti-Fake	1	0.00575079872204
Chiayi	4	0.113099041534
Vocaloid	1	0.00191693290735
Beauty	8	0.750159744409
ToS	2	0.0996805111821
GUNDAM	1	0.029392971246
studyabroad	2	0.0428115015974
ID_Multi	1	0.104792332268
LoL	5	2.79744408946
KoreaDrama	1	0.0875399361022
Notebook	1	0.0421725239617
Baseball	38	4.78274760383
Softball	2	0.0517571884984
Salesperson	1	0.0230031948882
Wanted	42	8.00511182109
GTA	1	0.0217252396166
Tech_Job	3	0.337380191693
TurtleSoup	6	0.0690095846645
Eng-Class	6	0.109265175719
CareerPlan	1	0.0313099041534
Hsinchu	7	0.42428115016
BeautyMarket	2	1.06645367412
rabbit	2	0.0345047923323
Psychiatry	5	0.0351437699681
Pharmacy	2	0.0159744408946
AskBoard	1	0.00894568690096
Road	2	0.198083067093
novel	1	0.0153354632588
gallantry	2	0.0945686900958
Office	1	0.0210862619808
Deutsch	2	0.0172523961661
car	1	0.631309904153
HandMade	1	0.0268370607029
soul	1	0.023642172524
rent-exp	2	0.0319488817891
PingTung	1	0.141214057508
Tai-travel	1	0.107987220447
ONE_PIECE	2	0.145047923323
SuperBike	1	0.0466453674121
HelpBuy	6	2.21916932907
HsinYi	1	0.0632587859425
give	1	0.760383386581
MoveHouse	1	0.0421725239617
tax	5	0.067731629393
CVS	1	0.088178913738
AVEncode	2	0.0038338658147
hardware	1	0.0543130990415
equal_change	8	0.494568690096
PttLifeLaw	1	0.0523961661342
Chat82gether	4	0.545686900958
Plant	2	0.138019169329
CTime	11	0.0913738019169
Food	2	0.792971246006
Road_Running	3	0.0913738019169
Drink	2	0.0300319488818
EuropeTravel	1	0.0856230031949
creditcard	4	0.286261980831
IdolMaster	3	0.0555910543131
PC_Shopping	2	0.240255591054
Hearthstone	2	0.349520766773
Tainan	5	1.17252396166
Windows	1	0.0670926517572
BeautySalon	2	0.108626198083
SuperHeroes	1	0.190415335463
E-appliance	1	0.115654952077
INSECT	1	0.00447284345048
ToS_Match	2	0.023642172524
Accounting	1	0.103514376997
PttEarnMoney	15	9.04856230032
BigBanciao	4	0.189137380192
Neihu	5	0.326517571885
MenTalk	8	2.14760383387
Japandrama	4	0.12268370607
Jeans	1	0.0108626198083
car-pool	1	0.102875399361
part-time	3	0.385942492013
streetfight	3	0.0274760383387
ChangHua	1	0.288817891374
