Name	Degree	NorDegree
home-sale	2	0.364217252396
give	1	0.760383386581
Drama-Ticket	1	1.39808306709
isLandTravel	4	0.020447284345
France	1	0.00702875399361
Gossiping	1	19.1233226837
Aviation	11	0.453674121406
Lions	2	2.00319488818
cookclub	1	0.0932907348243
WorkinChina	3	0.0223642172524
LA	1	0.0185303514377
Food	1	0.792971246006
travel	1	0.452396166134
Hotel	1	0.0849840255591
BuyTogether	2	0.613418530351
EuropeTravel	3	0.0856230031949
creditcard	7	0.286261980831
Baseball	2	4.78274760383
Thailand	1	0.0217252396166
Car-rent	1	0.0108626198083
Wanted	1	8.00511182109
OverWatch	1	0.135463258786
Holland	1	0.00830670926518
PC_Shopping	4	0.240255591054
JeannieShieh	1	0.00447284345048
E-appliance	1	0.115654952077
C_Chat	1	2.8249201278
MuscleBeach	2	0.193610223642
iPhone	2	0.254313099042
BabyMother	2	0.345047923323
IA	1	1.37380191693
TaichungBun	1	0.651757188498
Japan_Travel	4	0.669009584665
Office	2	0.0210862619808
TaichungCont	1	0.0460063897764
Loan	2	0.0210862619808
Rhinos	2	11.6996805112
travelbooks	2	0.0153354632588
Hsinchu	1	0.42428115016
marriage	1	0.215335463259
Linux	1	0.00894568690096
Accounting	2	0.103514376997
forsale	8	12.2313099042
HelpBuy	18	2.21916932907
