Name	Degree	NorDegree
Hearthstone	6	0.349520766773
Lottery	3	0.0338658146965
Child_Psy	5	0.023642172524
BabyMother	1	0.345047923323
tax	2	0.067731629393
elderly	1	0.0172523961661
sex	3	1.20830670927
Psychiatry	4	0.0351437699681
ask	1	0.564217252396
Suckcomic	2	0.148242811502
LoL	4	2.79744408946
Aerobics	2	0.00447284345048
Test	8	1.41725239617
poem	1	0.0357827476038
StupidClown	1	0.259424920128
MenTalk	2	2.14760383387
Beauty	2	0.750159744409
Health_Life	1	0.0370607028754
Road_Running	2	0.0913738019169
flying	3	0.00511182108626
feminine_sex	1	0.00766773162939
TaichungBun	5	0.651757188498
pay_home	1	0.0102236421725
NARUTO	2	0.0134185303514
Wanted	13	8.00511182109
Salary	1	0.357827476038
ServiceInfo	3	0.0159744408946
NPUST	1	0.00191693290735
band	1	0.00894568690096
Hamster	3	0.00830670926518
SongShan	1	0.088178913738
Gossiping	31	19.1233226837
jawawa	1	0.0038338658147
Pharmacy	1	0.0159744408946
Doctor-Info	2	0.0274760383387
Taipei	2	0.254952076677
Songs	2	0.0172523961661
TaiShan	1	0.0185303514377
Reptile	2	0.0140575079872
gay	1	0.157188498403
historia	2	0.336102236422
lostsleep	1	0.00511182108626
rent-exp	1	0.0319488817891
PingTung	1	0.141214057508
eat-disorder	1	0.00447284345048
Hate	11	11.3265175719
Virgo	13	0.0447284345048
marvel	1	0.175079872204
