board	degree	nordegree
C_Chat	34	20.7608271557
Gossiping	19	4.57320824362
ask	3	2.43390357698
PttNewhand	2	1.96115288221
LoL	3	1.94249069094
PuzzleDragon	2	1.93808049536
battlegirlhs	2	1.93329215565
WOW	2	1.9226044226
Suckcomic	2	1.91671769749
Hearthstone	2	1.78449258837
Palmar_Drama	2	1.78347578348
Salary	2	1.72451790634
Gamesale	2	1.57921291625
Baseball	2	1.13078034682
WarCraft	1	0.998086734694
TokyoGhoul	1	0.996180776575
MusicGame	1	0.995547073791
Detective	1	0.995547073791
Evangelion	1	0.994914176732
ChainChron	1	0.993020304569
GTA	1	0.989879822897
LightNovel	1	0.989254108723
ToS_Match	1	0.988629185092
streetfight	1	0.988005050505
NIHONGO	1	0.9861373661
fastfood	1	0.983658076681
DummyHistory	1	0.977514053716
FCU_Talk	1	0.97629444791
Wen-Shan	1	0.97507788162
AC_Sale	1	0.973864343497
TypeMoon	1	0.973258706468
Design	1	0.967243510507
DSLR	1	0.967243510507
Navy	1	0.958358848745
historia	1	0.942203491872
CFantasy	1	0.941636582431
SuperHeroes	1	0.940504807692
japanavgirls	1	0.938812237552
Hunter	1	0.937125748503
marvel	1	0.933770883055
Steam	1	0.930439952438
StupidClown	1	0.922759433962
ChangHua	1	0.91788856305
Lifeismoney	1	0.906195715113
Militarylife	1	0.881690140845
PlayStation	1	0.872838817624
PttEarnMoney	1	0.85989010989
car	1	0.840494092374
Test	1	0.775520317146
NBA	1	0.770935960591
Hate	1	0.582217261905
