board	degree	nordegree
TW-language	8	7.55126658625
Taiwanlit	4	3.890615289
Korea	4	3.88096714197
Tainan	6	2.76176470588
Linguistics	2	1.97103274559
Texas	2	1.96855345912
KoreaStudy	2	1.95625
iPhone	2	1.59449821701
BabyMother	2	1.48693586698
Kaohsiung	2	0.986448156319
T-I-R	1	0.9861373661
STS	1	0.9861373661
Monotheism	1	0.9861373661
Marxism	1	0.9861373661
Learn_Buddha	1	0.9861373661
HumService	1	0.9861373661
Hakka-Dream	1	0.9861373661
China	1	0.9861373661
Atheism	1	0.9861373661
Ancient	1	0.9861373661
IGuanTao	1	0.984896161108
Taoism	1	0.98427672956
Feminism	1	0.98427672956
W-Philosophy	1	0.978736710444
soul	1	0.976903870162
Confucianism	1	0.976903870162
NewAge	1	0.974470734745
Buddha	1	0.973864343497
Folklore	1	0.970843672457
Christianity	1	0.945048309179
Buddhism	1	0.943908323281
Catholic	1	0.91735052755
movie	2	0.746304244158
Gossiping	8	0.397548661607
