Name	Degree	NorDegree
e-coupon	56	0.493290734824
lyrics	1	0.884345047923
Jay	7	0.0325878594249
tax	7	0.067731629393
CVS	7	0.088178913738
RockMetal	1	0.038338658147
Examination	2	0.208306709265
popmusic	1	0.0274760383387
HelpBuy	21	2.21916932907
barterbooks	12	0.782108626198
book	7	0.10607028754
IC-Card	7	0.0690095846645
Tainan	2	1.17252396166
guitar	1	0.0421725239617
einvoice	14	0.0619808306709
BeautyMarket	2	1.06645367412
post-b.test	1	0.023642172524
Songs	1	0.0172523961661
Office	1	0.0210862619808
Gossiping	4	19.1233226837
joke	1	1.13865814696
ask	1	0.564217252396
cat	1	0.15910543131
points	2	0.0696485623003
Japan_Travel	1	0.669009584665
Hate	1	11.3265175719
