board	degree	nordegree
Wanted	1205	133.81288583
friends	33	24.8412698413
BoardGame	23	20.6275071633
Neihu	10	7.53853564547
Nantou	6	5.57600950119
bicycle	6	5.51379917792
China_travel	6	5.48481308411
sex	12	5.43402777778
mobilesales	9	5.34738041002
True-Escape	5	4.95253164557
Hate	60	4.86755481831
KTV	5	4.82429099877
MAC	5	4.6219728293
NBAJerseys	4	3.9445494644
photo-buy	4	3.83578431373
NightLife	4	3.7870538415
TaichungBun	6	3.63249516441
Chiayi	4	3.5935706085
Kaohsiung	7	3.45256854712
Boy-Girl	5	3.44410211268
MobileComm	6	3.08881578947
forsale	40	3.02313227411
Songs	3	2.94912060302
model	3	2.89814814815
part-time	4	2.88612263716
WomenTalk	12	2.85975331201
DiabloEX	3	2.82151442308
joke	6	2.80549746041
CarShop	3	2.76176470588
ChungLi	3	2.65104460757
SportsShop	3	2.58820286659
MuscleBeach	3	2.51338329764
ShuangHe	3	2.46198217095
Taipei	3	2.39052953157
Salary	3	2.20941176471
PlayBaseball	2	1.98478123018
CompBook	2	1.98478123018
Clothes	10	1.98126345107
LivingGoods	2	1.95869837297
unemployed	2	1.94168734491
facelift	2	1.93688118812
JOB-Hunting	2	1.93329215565
guitar	2	1.91906805641
ask	3	1.91789215686
Koei	2	1.90737355271
Insurance	2	1.90505173463
TuCheng	2	1.87649880096
tax	2	1.87312986236
Life	2	1.87312986236
V_ScHooL	2	1.85646500593
Facebook	2	1.85426540284
Wen-Shan	2	1.84660766962
car	3	1.83901292597
KoreaDrama	2	1.83901292597
CATCH	2	1.83362624487
hairdo	2	1.83148039789
electronic	2	1.82720373614
Bank_Service	2	1.81449275362
car-pool	2	1.8134414832
Examination	2	1.65520888419
Lonely	2	1.6361735494
Gamesale	3	1.56604402935
Military	2	1.56265601598
e-coupon	2	1.33932391955
Gossiping	25	1.24233956752
HardwareSale	2	1.20989563201
Japan_Travel	2	1.19831546708
MacShop	2	1.18695487296
give	2	1.13611615245
movie	3	1.11945636624
Baseball	6	1.03756906077
Penpal	1	0.999361430396
VAPE	1	0.998086734694
ai-photo	1	0.994282083863
MIS	1	0.993020304569
StrikeShoot	1	0.990506329114
dance	1	0.989879822897
Jeans	1	0.989254108723
Car-rent	1	0.989254108723
BandPlayer	1	0.989254108723
HANGUKMAL	1	0.98738170347
Mechanical	1	0.982423101067
TAROT	1	0.981191222571
StudyGroup	1	0.979962429555
Loan	1	0.979349186483
Thailand	1	0.978736710444
TravelGuy	1	0.974470734745
RIPE_gender	1	0.971446306642
NCU_Talk	1	0.970843672457
camping	1	0.966049382716
littlegift	1	0.963669950739
RockMetal	1	0.963076923077
Zhongzheng	1	0.962484624846
NIHONGO	1	0.958946078431
TaichungCont	1	0.956017104459
Libra	1	0.949060036386
Yunlin	1	0.930993456276
Sijhih	1	0.930993456276
Audiophile	1	0.923848878394
SongShan	1	0.918966529654
Teacher	1	0.915204678363
toberich	1	0.913601868068
EAseries	1	0.906720741599
Android	1	0.902017291066
Badminton	1	0.900460299194
FTV	1	0.899425287356
FITNESS	1	0.897362385321
DC_SALE	1	0.864640883978
SENIORHIGH	1	0.863686534216
cat	1	0.862734288864
BigSanchung	1	0.851005981512
BigBanciao	1	0.840945728103
Ind-travel	1	0.80421377184
iPhone	1	0.797249108507
StupidClown	1	0.794013191273
ChangHua	1	0.775904809122
Taoyuan	1	0.742057847321
home-sale	1	0.733021077283
Hsinchu	1	0.702108568865
Militarylife	1	0.699910554562
travel	1	0.688517377915
Aviation	1	0.687912087912
NewActivity	1	0.675442382391
RealMadrid	1	0.675150992235
CrossStrait	1	0.665391156463
Stock	1	0.645094806265
BikerShop	1	0.614689709348
barterbooks	1	0.561133022589
Food	1	0.557733428368
Monkeys	2	0.538819073851
C_Chat	2	0.522886735717
Diary	1	0.5008
Drama-Ticket	1	0.416999733546
NBA	1	0.341255996511
MenTalk	1	0.317701989444
LoL	1	0.263335015985
Elephants	1	0.116270430906
