board	degree	nordegree
Aquarius	15	4959.50704225
first-wife	1	1565.0
Cancer	9	519.528688525
Zastrology	9	387.660550459
Leo	4	373.731343284
MACAU	1	223.571428571
Virgo	3	201.214285714
Libra	3	167.678571429
Capricornus	3	163.779069767
Scorpio	3	138.088235294
Sagittarius	3	112.68
Car-rent	1	92.0588235294
Pisces	2	85.7534246575
Taurus	1	55.8928571429
CNBLUE	1	41.1842105263
Gemini	1	34.0217391304
Chiayi	1	8.8418079096
Wanted	8	7.99489144317
movie	2	2.38113351084
BuyTogether	1	1.63020833333
BeautyMarket	1	0.937687237867
Gossiping	4	0.836674685913
Hate	2	0.353153559743
WomenTalk	1	0.31287485006
