Name	Degree	NorDegree
cookclub	6	0.0932907348243
WomenTalk	3	3.19616613419
wisdom	2	0.0159744408946
joyinDIY	1	0.00255591054313
LAW	1	0.0543130990415
MakeUp	1	0.0830670926518
BeautySalon	2	0.108626198083
dog	1	0.115654952077
BeautyBody	1	0.0134185303514
Doctor-Info	1	0.0274760383387
BuyTogether	3	0.613418530351
studyteacher	1	0.0210862619808
toberich	1	0.0945686900958
BabyMother	1	0.345047923323
Gossiping	2	19.1233226837
Chiayi	1	0.113099041534
forsale	2	12.2313099042
Chat82gether	1	0.545686900958
postcrossing	1	0.0153354632588
