board	degree	nordegree
T-I-R	1	0.9861373661
STS	1	0.9861373661
Monotheism	1	0.9861373661
Marxism	1	0.9861373661
Learn_Buddha	1	0.9861373661
HumService	1	0.9861373661
Hakka-Dream	1	0.9861373661
China	1	0.9861373661
Ancient	1	0.9861373661
IGuanTao	1	0.984896161108
Taoism	1	0.98427672956
Feminism	1	0.98427672956
W-Philosophy	1	0.983658076681
Confucianism	1	0.983040201005
soul	1	0.982423101067
NewAge	1	0.979962429555
Buddha	1	0.978736710444
Christianity	1	0.977514053716
Aboriginal	1	0.975685785536
Folklore	1	0.97507788162
Buddhism	1	0.973864343497
Catholic	1	0.969640644362
