board	degree	nordegree
Raptors	198	20289.1071429
FAPL	198	17390.6632653
Hornets	156	15757.4844849
tabletennis	132	12935.7495256
G-S-WARRIORS	111	10832.7893258
GO	99	9604.61177207
LaClippers	77	7405.33519553
PACERS	77	7323.50828729
Thunder	77	7192.93410853
MiamiHeat	77	6966.12987988
Hawks	66	6312.16666667
CN_Entertain	77	5895.09847522
Palmar_Drama	66	5219.86217458
Cavaliers	55	5156.99891068
NTU	66	4865.91006424
RealMadrid	44	4023.69189907
FCBarcelona	33	3104.3442623
ChicagoBulls	33	3104.3442623
Nets	22	2058.31521739
Celtics	22	1825.20481928
Atletico	22	1661.09649123
Soccer	22	1367.25631769
Wizards	11	1023.59459459
Orl-Magic	11	1023.59459459
Lionel_Messi	11	1023.59459459
LFP	11	1023.59459459
CONCACAF	11	1023.59459459
BVB_09	11	1023.59459459
Argentina	11	1023.59459459
ManCity	11	1012.64705882
Bundesliga	11	1012.64705882
FCBayern	11	976.108247423
ManUtd	11	845.379464286
SuperHeroes	11	635.453020134
MLB	11	175.500463392
Elephants	33	143.277427491
Rhinos	22	41.3686510104
HatePolitics	1	0.464116251483
