board	degree	nordegree
forsale	905	66961.3480827
BabyMother	81	19014.75
GoodPregnan	7	3067.4
Clothes	111	3044.26349858
give	41	2210.72689076
AnimalGoods	5	1504.80769231
Hsinchu	25	1473.07981928
HelpBuy	48	1038.2263173
marriage	14	910.207715134
San-Ying	5	815.104166667
equal_change	20	808.785529716
Rent_apart	9	737.005813953
NTU_GoodLife	14	628.56557377
babysitte	2	626.0
Lifeismoney	10	461.651917404
GetMarry	8	437.379912664
DC_SALE	8	408.816326531
Jewelry	3	343.536585366
Insurance	4	321.025641026
Tainan	19	307.882833787
LicenseShop	4	252.929292929
Stall	2	250.4
MOD	2	223.571428571
Chiayi	5	221.04519774
Keelung	4	217.739130435
Nangang	4	195.625
mobilesales	11	177.142188962
LAW	3	165.705882353
job	4	162.597402597
BeautyMarket	13	158.4691432
SportsShop	5	157.128514056
HandMade	2	149.047619048
underwear	1	130.416666667
Wanhua	1	130.416666667
Preschooler	2	122.745098039
Chat82gether	8	117.283372365
PingTung	4	113.303167421
e-coupon	7	99.3329015544
MoveHouse	2	94.8484848485
Tour-Manager	1	86.9444444444
Gov_owned	1	78.25
barterbooks	7	62.6511437908
LinKou	2	62.6
tax	2	59.0566037736
FongShan	1	52.1666666667
e-shopping	3	49.4210526316
Tea	1	47.4242424242
aqua-shop	2	47.0676691729
CarShop	2	46.3703703704
DigitalMusic	1	46.0294117647
HardwareSale	5	38.282778865
Japan_Travel	5	37.3686723973
Aussiekiwi	1	37.2619047619
E-appliance	2	34.5856353591
I-Lan	2	34.0217391304
Plant	2	28.9814814815
Neihu	3	27.5636007828
littlegift	1	26.5254237288
Taoyuan	3	25.8915441176
PublicServan	1	24.8412698413
TaichungBun	4	24.5490196078
hypermall	1	23.0147058824
BigSanchung	2	22.8467153285
nb-shopping	2	18.630952381
ShuangHe	2	18.3040935673
ask	3	15.9513023783
Perfume_Shop	2	15.9287531807
iPhone	2	15.7286432161
BuyTogether	3	14.671875
ChangHua	2	13.8495575221
Sijhih	1	13.4913793103
MacShop	3	13.1389925373
Drama-Ticket	4	11.4442413163
Headphone	1	9.8427672956
Kaohsiung	3	8.75932835821
WomenTalk	5	7.8218712515
sex	3	7.44843997885
BikerShop	2	6.38124362895
cat	1	6.28514056225
memento	1	6.11328125
HsinChuang	1	5.69090909091
BigBanciao	1	5.28716216216
Rent_tao	1	3.58944954128
creditcard	1	3.49330357143
