board	degree	nordegree
SportsShop	6	5.52678045909
TaichungBun	7	5.16989145824
Agriculture	5	4.64391691395
Olympics_ISG	5	4.58406561219
Oceanography	4	3.80778588808
Ecophilia	4	3.72175980975
sky	4	3.71513353116
Road	4	3.68452030606
CrossStrait	4	3.56492027335
MRT	4	3.5407239819
IA	4	3.5148792813
Railway	4	3.48164627364
Navy	3	2.87507654623
juniorhigh	3	2.84890776699
swim	3	2.80801435407
Aviation	3	2.59105960265
Tainan	3	2.16658975542
basketballTW	2	1.94289261328
EarthScience	2	1.93568336425
Jinmen	2	1.93329215565
PublicBike	2	1.91789215686
Korea_Travel	2	1.89696969697
Bus	2	1.85536455246
Soccer	2	1.81029496819
Militarylife	2	1.76338028169
Kaohsiung	2	1.56343656344
BadmintnClub	1	0.999361430396
Softball	1	0.991133628879
medache	1	0.989254108723
Volleyball	1	0.989254108723
Cga	1	0.976903870162
TaichungCont	1	0.97507788162
ID_Problem	1	0.973258706468
AirForce	1	0.973258706468
PU_Family	1	0.97265382225
PH-sea	1	0.971446306642
TAXI	1	0.970843672457
Post	1	0.957186544343
Nantou	1	0.954850518609
China_travel	1	0.951367781155
Tennis	1	0.950789793439
V_ScHooL	1	0.945619335347
TY_Research	1	0.944477972239
japanavgirls	1	0.938812237552
Neihu	1	0.912004662005
tabletennis	1	0.900978698906
NTU	1	0.85989010989
Taoyuan	1	0.845032397408
BabyMother	1	0.834221748401
Japan_Travel	1	0.798469387755
MacShop	1	0.786432160804
AllTogether	1	0.725208526413
Gossiping	3	0.72208551215
movie	1	0.676610462603
Baseball	1	0.56539017341
Wanted	1	0.495253164557
forsale	1	0.360516010136
