board	degree	nordegree
creditcard	24	18.6587183308
Lifeismoney	19	15.6171218487
ForeignEX	10	9.61893054702
TaichungBun	7	4.23791102515
IC-Card	4	3.74178123132
China_travel	4	3.65654205607
HardwareSale	5	3.02473908002
forsale	29	2.19177089873
YuBeauty	2	1.9873015873
Insurance	2	1.90505173463
Option	2	1.90273556231
MAC	2	1.84878913172
Stock	2	1.29018961253
GreysAnatomy	1	0.996180776575
single	1	0.995547073791
MJ	1	0.994282083863
Fund	1	0.994282083863
Brand	1	0.992390615092
Salesperson	1	0.977514053716
CFP	1	0.97629444791
AllTogether	2	0.959828273536
tax	1	0.936564931179
HelpBuy	3	0.931917427551
Wen-Shan	1	0.923303834808
KoreaDrama	1	0.919506462985
CVS	1	0.918966529654
hairdo	1	0.915740198947
Key_Mou_Pad	1	0.899942495687
ChungLi	1	0.883681535855
Bus	1	0.845945945946
BigBanciao	1	0.840945728103
Zastrology	1	0.827167019027
Taoyuan	1	0.742057847321
talk	3	0.722307692308
Gossiping	14	0.695710157813
ask	1	0.639297385621
Railway	1	0.624750499002
Japan_Travel	1	0.599157733538
MacShop	1	0.593477436481
Gamesale	1	0.522014676451
movie	1	0.373152122079
Wanted	1	0.111048038033
Rhinos	1	0.0787421383648
