board	degree	nordegree
Clothes	47	34.3394024276
forsale	92	33.1674729325
HelpBuy	44	30.7960644007
Perfume_Shop	22	20.3486997636
BuyTogether	15	12.4140666314
Chat82gether	14	11.9205658324
MakeUp	6	5.66003616637
BabyProducts	7	5.60358056266
give	7	5.49949799197
Japan_Travel	6	4.79081632653
BeautySalon	5	4.66885441527
Tainan	6	4.33317951084
Daan	4	3.78934624697
NTU_GoodLife	4	3.77563329312
e-coupon	4	3.50700280112
FCU_GoodLife	3	2.97151898734
TaichungBun	4	2.95422369042
mobilesales	4	2.8941285252
HsinTien	3	2.87155963303
GetMarry	3	2.77646363099
e-shopping	3	2.72489843297
iPhone	3	2.65104460757
equal_change	3	2.65104460757
tax	2	1.9237861094
BigBanciao	2	1.81659895531
Palmar_Drama	2	1.78347578348
barterbooks	2	1.7713638936
Taoyuan	2	1.69006479482
Drama-Ticket	2	1.64390756303
ask	2	1.62260238466
Gamesale	2	1.57921291625
WomenTalk	2	1.08379501385
L_BeautyCare	1	0.998086734694
IkutaToma	1	0.998086734694
Mancare	1	0.992390615092
Music-Sell	1	0.991133628879
NihonBook	1	0.989879822897
BeautyBody	1	0.988629185092
ServiceInfo	1	0.988005050505
CNBLUE	1	0.9861373661
RockMetal	1	0.985516372796
LivingGoods	1	0.98427672956
Jewelry	1	0.98427672956
Aquarium	1	0.981191222571
photo-buy	1	0.980576441103
Nurse	1	0.979962429555
San-Ying	1	0.977514053716
Accounting	1	0.976903870162
Aries	1	0.975685785536
Shu-Lin	1	0.973258706468
stationery	1	0.970843672457
I.O.I	1	0.970843672457
LAW	1	0.969040247678
Sijhih	1	0.967243510507
THU_Talk	1	0.961893054702
Yunlin	1	0.961302211302
hairdo	1	0.958946078431
BigShiLin	1	0.956017104459
Keelung	1	0.954850518609
cookclub	1	0.95021250759
Korea_Travel	1	0.948484848485
E-appliance	1	0.942203491872
PingTung	1	0.937687237867
MuscleBeach	1	0.937125748503
Chiayi	1	0.93544530783
ChungLi	1	0.933770883055
dog	1	0.932657926103
marriage	1	0.92221567472
DC_SALE	1	0.916813122437
Taipei	1	0.914135514019
Neihu	1	0.912004662005
Lifeismoney	1	0.906195715113
Aviation	1	0.863686534216
Salary	1	0.862258953168
Tech_Job	1	0.860836083608
BabyMother	1	0.834221748401
Elephants	1	0.803800719055
MacShop	1	0.786432160804
MobileComm	1	0.776674937965
Wanted	1	0.495253164557
Gossiping	2	0.481390341433
