board	degree	nordegree
forsale	26	9.37341626353
give	6	4.71385542169
Baseball	6	3.39234104046
cat	3	2.71073903002
Gossiping	9	2.16625653645
Zhongzheng	2	1.96731615336
SongShan	2	1.91203420892
GetMarry	2	1.85097575399
HsinChuang	2	1.82720373614
nb-shopping	2	1.78347578348
biker	2	1.76736307171
Beauty	2	1.75055928412
Stock	2	1.70851528384
Chat82gether	2	1.70293797606
BabyMother	2	1.6684434968
BabyProducts	2	1.6010230179
NBA	2	1.54187192118
Wanted	3	1.48575949367
HatePolitics	2	1.44239631336
WomenTalk	2	1.08379501385
San-X	1	0.996180776575
RENE	1	0.992390615092
Electronics	1	0.988629185092
BeautyBody	1	0.988629185092
NCU_Talk	1	0.982423101067
Interior	1	0.982423101067
Aquarium	1	0.981191222571
XBOX	1	0.979962429555
Aussiekiwi	1	0.979349186483
Doctor-Info	1	0.975685785536
Wen-Shan	1	0.97507788162
Sijhih	1	0.967243510507
HsinYi	1	0.967243510507
aqua-shop	1	0.966646077826
Zhongshan	1	0.965453423812
Hualien	1	0.960712093309
Rent_apart	1	0.958358848745
BigShiLin	1	0.956017104459
Keelung	1	0.954850518609
Daan	1	0.947336561743
toberich	1	0.93824940048
ChungLi	1	0.933770883055
BeautySalon	1	0.933770883055
dog	1	0.932657926103
Taipei	1	0.914135514019
part-time	1	0.858946212953
Taoyuan	1	0.845032397408
BuyTogether	1	0.827604442094
ask	1	0.811301192328
HardwareSale	1	0.790803436079
Gamesale	1	0.789606458123
Food	1	0.789606458123
sex	1	0.781328007988
Clothes	1	0.730625583567
AllTogether	1	0.725208526413
mobilesales	1	0.723532131299
HelpBuy	1	0.699910554562
