board	degree	nordegree
L_TalkandCha	20	16.0430548437
Sub_DigiLife	10	9.7265382225
ChangHua	8	6.20723847298
Sub_DigiTech	5	4.94627054362
Paramore	5	4.94627054362
L_LifeInfo	5	4.92758186398
chicken	5	4.88757026858
SYSOP	5	4.84820322181
haiku	5	4.71101745936
Taoyuan	2	1.48411569464
Sony-style	1	0.978125
e-seller	1	0.97507788162
Nangang	1	0.924394565859
ChungLi	1	0.883681535855
PublicIssue	1	0.693398316349
Aviation	1	0.687912087912
Railway	1	0.624750499002
Gossiping	6	0.298161496206
GambleGhost	5	0.067825257866
