board	degree	nordegree
Yunlin	12	11.1719214753
iPhone	12	9.56698930209
love-vegetal	9	8.68908081431
Zhongzheng	8	7.69987699877
dog	8	7.17067583047
Buddha	4	3.89545737399
Electronics	1	0.98738170347
Kaohsiung	2	0.986448156319
T-I-R	1	0.9861373661
STS	1	0.9861373661
Monotheism	1	0.9861373661
Marxism	1	0.9861373661
Learn_Buddha	1	0.9861373661
HumService	1	0.9861373661
Hakka-Dream	1	0.9861373661
China	1	0.9861373661
Atheism	1	0.9861373661
Ancient	1	0.9861373661
IGuanTao	1	0.984896161108
Taoism	1	0.98427672956
Feminism	1	0.98427672956
W-Philosophy	1	0.978736710444
soul	1	0.976903870162
Confucianism	1	0.976903870162
NewAge	1	0.974470734745
Folklore	1	0.970843672457
Aboriginal	1	0.959534028204
Christianity	1	0.945048309179
DiabloEX	1	0.940504807692
Catholic	1	0.91735052755
movie	2	0.746304244158
CrossStrait	1	0.665391156463
ask	1	0.639297385621
Palmar_Drama	1	0.545106234761
Gossiping	10	0.496935827009
