board	degree	nordegree
Accounting	7	473.364197531
MOD	2	223.571428571
TAROT	2	208.666666667
Natal	1	142.272727273
Starbucks	1	130.416666667
e-coupon	8	129.740932642
Sewing	1	104.333333333
WomenTalk	16	80.0959616154
Gov_owned	1	78.25
Neihu	5	76.5655577299
Chat82gether	6	65.9718969555
einvoice	2	64.5360824742
e-shopping	3	49.4210526316
Q_ary	1	43.4722222222
HandMade	1	37.2619047619
Boy-Girl	4	35.4172560113
Jay	1	30.6862745098
Gossiping	23	27.662556803
GetMarry	2	27.3362445415
Browsers	1	19.3209876543
ShuangHe	2	18.3040935673
BigPeitou	1	15.1941747573
tax	1	14.7641509434
IC-Card	1	14.4907407407
creditcard	2	13.9732142857
TaichungBun	3	13.8088235294
HsinTien	1	12.3228346457
Korea_Travel	1	11.7669172932
SongShan	1	11.3405797101
part-time	2	10.3642384106
Bank_Service	1	9.78125
MobileComm	3	9.54915254237
book	1	9.42771084337
Android	1	9.20588235294
Chiayi	1	8.8418079096
dog	1	8.64640883978
Plant	1	7.24537037037
SportLottery	1	5.14802631579
Examination	1	4.80061349693
Zastrology	1	4.78593272171
HelpBuy	3	4.05557155197
Baseball	4	3.34535738143
BabyMother	1	2.89814814815
home-sale	1	2.74561403509
movie	2	2.38113351084
ask	1	1.77236693092
car	1	1.58400809717
Japan_Travel	1	1.49474689589
mobilesales	1	1.46398503274
forsale	4	1.30811827395
Hate	3	0.794595509421
Monkeys	1	0.368755890669
