board	degree	nordegree
ASIA-uni	2	1.95380774032
NCUT	2	1.95258889582
NCHUS	2	1.91203420892
Interior	1	0.982423101067
scholarship	1	0.979349186483
TIT	1	0.979349186483
STUST	1	0.979349186483
NUU_Talk	1	0.979349186483
NUU_ID	1	0.979349186483
NUU-ARCHI	1	0.979349186483
NTUST-ARCH	1	0.979349186483
NTCUST	1	0.979349186483
NTCU	1	0.979349186483
NFU	1	0.979349186483
Lan_Yang	1	0.979349186483
LTU	1	0.979349186483
KSU	1	0.979349186483
HungKuang	1	0.979349186483
CHU	1	0.979349186483
NYUST	1	0.978736710444
NDHU	1	0.978125
CTUST	1	0.977514053716
NCNU	1	0.976903870162
FCU_Talk	1	0.97629444791
YZU_Talk	1	0.97507788162
TaichungCont	1	0.97507788162
NHCUE-Talk	1	0.97507788162
OCU	1	0.974470734745
PU_Family	1	0.97265382225
NTUST_Talk	1	0.966646077826
THU_Talk	1	0.961893054702
V_ScHooL	1	0.945619335347
Refresh	1	0.929887106358
learnyf	1	0.928783382789
Rent_tao	1	0.915204678363
Beauty	1	0.875279642058
part-time	1	0.858946212953
Test	1	0.775520317146
TaichungBun	1	0.738555922605
Gossiping	1	0.240695170717
