board	degree	nordegree
Libra	4	3.90517779164
Virgo	3	2.92341220423
Sagittarius	3	2.92341220423
Cancer	3	2.91072535648
Scorpio	3	2.90532178218
Pisces	2	1.95258889582
Leo	2	1.95137157107
Aries	2	1.95137157107
Zastrology	2	1.93688118812
Wanted	2	0.990506329114
adulation	1	0.989879822897
postcrossing	1	0.988005050505
Taurus	1	0.983658076681
Aquarius	1	0.982423101067
Gemini	1	0.981191222571
stationery	1	0.970843672457
MakeUp	1	0.943339361061
gay	1	0.937687237867
TaiwanDrama	1	0.912004662005
Boy-Girl	1	0.85332606325
Tainan	1	0.722196585141
WomenTalk	1	0.541897506925
