board	degree	nordegree
RIPE_gender	10	9.71446306642
AndroidDev	2	1.98101265823
Language	2	1.95258889582
unemployed	2	1.94168734491
Soft_Job	2	1.91320293399
Design	2	1.87200956938
learnyf	2	1.6251298027
Aviation	2	1.37582417582
GreenCity	1	0.999361430396
AsiaMovies	1	0.993650793651
Ourmovies	1	0.991761723701
Bioindustry	1	0.989254108723
HRM	1	0.986759142497
study	1	0.983658076681
Mechanical	1	0.982423101067
TravelGuy	1	0.974470734745
share	1	0.973864343497
aqua-shop	1	0.921672555948
toberich	1	0.913601868068
e-shopping	1	0.845945945946
Salary	1	0.736470588235
NewActivity	1	0.675442382391
ask	1	0.639297385621
mobilesales	1	0.594153378891
MacShop	1	0.593477436481
MobileComm	1	0.514802631579
HelpBuy	1	0.310639142517
LoL	1	0.263335015985
Gossiping	5	0.248467913505
