board	degree	nordegree
IA	5	4.39359910163
Christianity	3	2.93254216115
Gossiping	10	2.40695170717
CHING	1	0.992390615092
Policy	1	0.989879822897
GUNDAM	1	0.988629185092
T-I-R	1	0.9861373661
STS	1	0.9861373661
Monotheism	1	0.9861373661
Marxism	1	0.9861373661
Learn_Buddha	1	0.9861373661
HumService	1	0.9861373661
Hakka-Dream	1	0.9861373661
China	1	0.9861373661
Atheism	1	0.9861373661
Ancient	1	0.9861373661
IGuanTao	1	0.984896161108
Taoism	1	0.98427672956
Feminism	1	0.98427672956
W-Philosophy	1	0.983658076681
Confucianism	1	0.983040201005
soul	1	0.982423101067
NewAge	1	0.979962429555
Buddha	1	0.978736710444
politics	1	0.976903870162
Aboriginal	1	0.975685785536
Folklore	1	0.97507788162
Buddhism	1	0.973864343497
Japandrama	1	0.970241785493
FORMULA1	1	0.964858199753
Tour-Agency	1	0.962484624846
EuropeTravel	1	0.948484848485
sex	1	0.781328007988
C_Chat	1	0.610612563402
