board	degree	nordegree
LeBronJames	7	10955.0
Raptors	90	4191.96428571
FAPL	90	3593.1122449
Hornets	70	3172.7347952
tabletennis	60	2672.67552182
BLAZERS	55	2454.18610679
G-S-WARRIORS	50	2198.03370787
GO	45	1984.42391985
LaClippers	35	1530.02793296
PACERS	35	1513.12154696
Thunder	35	1486.14341085
MiamiHeat	35	1439.28303303
Hawks	30	1304.16666667
CN_Entertain	35	1217.99555273
Palmar_Drama	30	1078.48392037
NTU	30	1005.35331906
RealMadrid	20	831.341301461
FCBarcelona	15	641.393442623
ChicagoBulls	15	641.393442623
Nets	10	425.27173913
Celtics	10	377.108433735
Atletico	10	343.201754386
Soccer	10	282.490974729
Wizards	5	211.486486486
Orl-Magic	5	211.486486486
Lionel_Messi	5	211.486486486
LFP	5	211.486486486
CONCACAF	5	211.486486486
BVB_09	5	211.486486486
Argentina	5	211.486486486
ManCity	5	209.22459893
Bundesliga	5	209.22459893
FCBayern	5	201.675257732
ManUtd	5	174.665178571
SuperHeroes	5	131.291946309
Elephants	17	38.0231189575
MLB	5	36.2604263207
Rhinos	10	8.54724194429
movie	2	2.38113351084
NBA	2	2.07216153592
