board	degree	nordegree
BuyTogether	316	162786.083333
e-shopping	29	4618.12280702
Clothes	112	3099.3621724
forsale	159	2066.90863024
give	33	1432.17226891
DietDiary	8	991.683168317
SNSD	6	782.5
Tour-Agency	6	516.880733945
BeautyMarket	22	453.840623128
CVS	6	408.260869565
Teacher	6	388.551724138
YuanChuang	2	347.777777778
SwimWear	2	260.833333333
kachaball	1	223.571428571
Chemistry	2	195.625
Office	2	189.696969697
photo	1	173.888888889
foreigner	1	156.5
WomenTalk	22	151.431427429
Perfume_Shop	6	143.358778626
NCU_Talk	2	133.191489362
GetMarry	4	109.344978166
MakeUp	3	108.346153846
THSRshare	2	88.1690140845
PH-sea	2	88.1690140845
Examination	4	76.8098159509
FengYuan	1	68.0434782609
BabyProducts	8	65.8081471748
Francais	1	57.962962963
need_student	1	53.9655172414
Aromatherapy	1	48.90625
KoreaDrama	2	45.6934306569
Tainan	7	41.7901907357
Lifeismoney	3	41.5486725664
HandMade	1	37.2619047619
PU_Family	1	32.6041666667
e-coupon	4	32.4352331606
HomeTeach	1	30.0961538462
rabbit	1	28.9814814815
ask	4	28.3578708947
BabyMother	3	26.0833333333
Drama-Ticket	6	25.7495429616
MacShop	4	23.3582089552
BigSanchung	2	22.8467153285
MenTalk	7	22.8161261529
Hsinchu	3	21.2123493976
BigBanciao	2	21.1486486486
Hualien	1	13.8495575221
Keelung	1	13.6086956522
mobilesales	3	13.1758652947
watch	1	11.6791044776
BeautySalon	1	9.20588235294
travel	2	8.8418079096
HelpBuy	4	7.20990498128
cat	1	6.28514056225
TaichungBun	2	6.13725490196
nb-shopping	1	4.65773809524
ShuangHe	1	4.57602339181
Gossiping	9	4.23566559743
Neihu	1	3.0626223092
SEVENTEEN	1	2.13215258856
HardwareSale	1	1.5313111546
Kaohsiung	1	0.973258706468
Wanted	1	0.124920178799
