board	degree	nordegree
Food	23	667.111200645
Kitty_Sanrio	1	260.833333333
Sub_GConsole	1	195.625
hairdo	4	173.888888889
ChangHua	7	169.657079646
Braves	1	142.272727273
FITNESS	4	139.888268156
Drama	1	120.384615385
Hotel	3	105.902255639
Sewing	1	104.333333333
Kaohsiung	10	97.3258706468
Volunteer	1	82.3684210526
BuyTogether	7	79.8802083333
tax	2	59.0566037736
Deutsch	1	57.962962963
Yunlin	2	53.9655172414
Aromatherapy	1	48.90625
Office	1	47.4242424242
Rent_ya	3	43.8785046729
CNBLUE	1	41.1842105263
OverWatch	2	29.5283018868
ask	4	28.3578708947
PingTung	2	28.3257918552
TOEFL_iBT	1	26.9827586207
BabyProducts	5	25.7063074901
guitar	1	23.7121212121
Tainan	5	21.3215258856
Hsinchu	3	21.2123493976
Aries	1	19.5625
Perfume_Shop	2	15.9287531807
AllTogether	4	14.7641509434
Rent_tao	2	14.3577981651
Zhongshan	1	13.7280701754
MAC	1	12.2265625
CVS	1	11.3405797101
Road_Running	1	10.9440559441
biker	2	10.8869565217
cookclub	1	10.7191780822
toberich	1	10.5743243243
part-time	2	10.3642384106
car-pool	1	9.72049689441
MobileComm	3	9.54915254237
BeautySalon	1	9.20588235294
dog	1	8.64640883978
E-appliance	1	8.64640883978
Daan	1	8.28042328042
forsale	9	6.62234876188
WOW	1	6.49377593361
DC_SALE	1	6.38775510204
SENIORHIGH	1	6.33603238866
Gossiping	11	6.32735231222
SportsShop	1	6.28514056225
Japan_Travel	2	5.97898758357
mobilesales	2	5.85594013096
Bus	1	5.49122807018
give	2	5.26050420168
Wanted	6	4.49712643678
PC_Shopping	1	4.16223404255
WomenTalk	3	2.81587365054
home-sale	1	2.74561403509
HelpBuy	2	1.80247624532
BikerShop	1	1.59531090724
HardwareSale	1	1.5313111546
MacShop	1	1.4598880597
barterbooks	1	1.27859477124
BeautyMarket	1	0.937687237867
Test	1	0.705590622182
LoL	1	0.357469164002
Elephants	1	0.131567885666
