board	degree	nordegree
Raptors	54	18.4157768577
FAPL	54	16.59336344
Hornets	42	16.5067805123
tabletennis	36	15.3389599782
BLAZERS	33	14.7810532341
G-S-WARRIORS	30	14.0358744395
GO	27	13.3633776091
LaClippers	21	11.6625266146
PACERS	21	11.6048728814
Thunder	21	11.5113835377
MiamiHeat	21	11.3444943045
Hawks	18	10.6502835539
CN_Entertain	21	10.469894871
Palmar_Drama	18	9.81191222571
NTU	18	9.49763991908
Cavaliers	15	9.45428916633
RealMadrid	12	8.10181190682
FCBarcelona	9	6.66272469253
Nets	6	4.85773409208
Celtics	6	4.74242424242
Atletico	6	4.64621474518
Soccer	6	4.43133553563
Wizards	3	2.68285714286
Orl-Magic	3	2.68285714286
Lionel_Messi	3	2.68285714286
LFP	3	2.68285714286
CONCACAF	3	2.68285714286
BVB_09	3	2.68285714286
Argentina	3	2.68285714286
ManCity	3	2.67979452055
Bundesliga	3	2.67979452055
FCBayern	3	2.66913018761
ManUtd	3	2.62437115707
SuperHeroes	3	2.52012882448
MLB	3	1.77571860817
Elephants	9	1.04643387816
Rhinos	6	0.472452830189
