board	degree	nordegree
Hate	55	4.46192525012
COC	4	3.73063170441
ToS	3	2.72806507844
HardwareSale	4	2.41979126401
Sub_GMobile	2	1.99109414758
PVC-GK	2	1.91203420892
MysticWiz	2	1.89238210399
Old-Games	2	1.8664281455
Key_Mou_Pad	2	1.79988499137
dog	2	1.79266895762
Gamesale	3	1.56604402935
Gossiping	26	1.29203315022
TaichungBun	2	1.21083172147
bass	1	0.994282083863
Shooter-game	1	0.991133628879
NARUTO	1	0.986759142497
BB_Online	1	0.969040247678
model	1	0.966049382716
RockMetal	1	0.963076923077
joke	2	0.935165820137
Facebook	1	0.927132701422
e-shopping	1	0.845945945946
BigBanciao	1	0.840945728103
MuscleBeach	1	0.837794432548
Steam	1	0.808367768595
PC_Shopping	1	0.806285419887
C_Chat	3	0.784330103575
Hearthstone	1	0.741003787879
PlayStation	1	0.719209558824
Stock	1	0.645094806265
LoL	2	0.52667003197
Test	1	0.413692836373
movie	1	0.373152122079
NBA	1	0.341255996511
