board	degree	nordegree
Gamesale	22	11.4843228819
DSLR	11	10.5226161369
MacShop	16	9.49563898369
photo-buy	9	8.63051470588
SportsShop	7	6.03914002205
Hiking	6	5.93552465234
mobilesales	9	5.34738041002
HelpBuy	16	4.97022628027
HardwareSale	8	4.83958252802
forsale	55	4.1568068769
BabyProducts	8	4.05571752511
bicycle	4	3.67586611861
lab621	3	2.98664122137
GetMarry	3	2.61705685619
nb-shopping	3	2.4697527617
ShuangHe	3	2.46198217095
Kaohsiung	4	1.97289631264
BuyTogether	3	1.85940594059
PlayStation	2	1.43841911765
ABC	1	0.998086734694
photo	1	0.994282083863
GRE	1	0.990506329114
egg-exchange	1	0.989879822897
MP3-player	1	0.9861373661
Jolin	1	0.984896161108
FongShan	1	0.981191222571
DigitalMusic	1	0.978736710444
Digitalhome	1	0.960122699387
AC_Sale	1	0.940504807692
joke	2	0.935165820137
Hualien	1	0.932657926103
Audiophile	1	0.923848878394
watch	1	0.921130076516
Tainan	2	0.920588235294
CarShop	1	0.920588235294
Android	1	0.902017291066
Chiayi	1	0.898392652124
E-appliance	1	0.896334478809
I-Lan	1	0.894797026872
PingTung	1	0.876259798432
cat	1	0.862734288864
iPhone	1	0.797249108507
creditcard	1	0.777446597119
biker	1	0.731308411215
e-coupon	1	0.669661959777
BikerShop	1	0.614689709348
Beauty	1	0.57137641475
give	1	0.568058076225
Baseball	3	0.518784530387
Gossiping	10	0.496935827009
BeautyMarket	1	0.483920841064
AllTogether	1	0.479914136768
Clothes	2	0.396252690214
NBA	1	0.341255996511
Monkeys	1	0.269409536925
Wanted	2	0.222096076066
Hate	1	0.0811259136385
