board	degree	nordegree
DC_SALE	5	4.58406561219
Hiking	2	1.9873015873
DC	2	1.97476340694
biker	2	1.76736307171
car	2	1.68098818475
Gossiping	6	1.4441710243
C_Chat	2	1.2212251268
India	1	0.997450605481
Delivery	1	0.995547073791
photo	1	0.994914176732
PlayBaseball	1	0.994914176732
ai-photo	1	0.994282083863
AndroidDev	1	0.993020304569
Wargaming	1	0.988629185092
postcrossing	1	0.988005050505
SMSlife	1	0.979962429555
einvoice	1	0.976903870162
ONE_PIECE	1	0.959534028204
BoardGame	1	0.953105968331
bicycle	1	0.952525867316
Headphone	1	0.949060036386
KanColle	1	0.937687237867
AC_In	1	0.930993456276
Examination	1	0.924394565859
Ind-travel	1	0.904101675332
Palmar_Drama	1	0.891737891738
Railway	1	0.870411568409
travel	1	0.849158979924
Rhinos	1	0.819800942902
ask	1	0.811301192328
Elephants	1	0.803800719055
Gamesale	1	0.789606458123
Kaohsiung	1	0.781718281718
TaichungBun	1	0.738555922605
Tainan	1	0.722196585141
HatePolitics	1	0.721198156682
movie	1	0.676610462603
Baseball	1	0.56539017341
Wanted	1	0.495253164557
