board	degree	nordegree
mobilesales	5	3.6176606565
Audiophile	3	2.89279112754
nb-shopping	3	2.67521367521
Gamesale	3	2.36881937437
MacShop	3	2.35929648241
forsale	5	1.80258005068
HardwareSale	2	1.58160687216
TVCard	1	0.994914176732
Music-Sell	1	0.991133628879
Pedal	1	0.979962429555
watch	1	0.954268292683
CarShop	1	0.953105968331
DC_SALE	1	0.916813122437
BikerShop	1	0.914135514019
Neihu	1	0.912004662005
ShuangHe	1	0.900460299194
Drama-Ticket	1	0.821953781513
HelpBuy	1	0.699910554562
LoL	1	0.64749689698
Gossiping	1	0.240695170717
