board	degree	nordegree
Pharmacy	3	2.96588755527
BabyMother	3	2.5026652452
Insurance	2	1.93688118812
prozac	2	1.91203420892
WomenTalk	2	1.08379501385
allergy	1	0.996180776575
eat-disorder	1	0.995547073791
ChineseMed	1	0.991761723701
Wanted	2	0.990506329114
Gov_owned	1	0.989254108723
Broken-heart	1	0.989254108723
elderly	1	0.988629185092
LGBT_SEX	1	0.988005050505
Aromatherapy	1	0.9861373661
Health_Life	1	0.985516372796
Child_Psy	1	0.984896161108
Aquarium	1	0.981191222571
Psychiatry	1	0.978125
Shu-Lin	1	0.973258706468
aqua-shop	1	0.966646077826
Windows	1	0.963076923077
E-appliance	1	0.942203491872
gay	1	0.937687237867
BeautySalon	1	0.933770883055
BigSanchung	1	0.929887106358
Stock	1	0.854257641921
Boy-Girl	1	0.85332606325
Hsinchu	1	0.832004253057
ask	1	0.811301192328
TaichungBun	1	0.738555922605
Baseball	1	0.56539017341
