board	degree	nordegree
YAseries	1	1565.0
Simcity	1	1565.0
movie	38	859.589197413
SuckcomicBM	1	782.5
Supernatural	1	260.833333333
NCIS	1	260.833333333
Realityshow	2	231.851851852
Zombie	2	201.935483871
Blog	1	173.888888889
Headphone	4	157.48427673
Bio-Job	1	130.416666667
VR	2	93.4328358209
RENE	1	74.5238095238
Hsinchu	5	58.9231927711
elderly	1	57.962962963
TAROT	1	52.1666666667
StudyGroup	1	48.90625
WorkinChina	1	44.7142857143
CHING	1	41.1842105263
Gossiping	27	38.1209903769
popmusic	1	36.3953488372
KTV	1	27.4561403509
Nurse	1	24.453125
WesternMusic	1	23.0147058824
joke	5	21.955667789
TaiwanDrama	4	20.626029654
Koei	1	20.5921052632
PttNewhand	1	16.8279569892
Windows	1	14.9047619048
Audiophile	1	12.1317829457
MenTalk	5	11.6408806903
KoreaDrama	1	11.4233576642
WomenTalk	6	11.2634946022
Salary	2	11.1785714286
CATCH	1	11.0211267606
cookclub	1	10.7191780822
toberich	1	10.5743243243
ToS	1	10.0320512821
Android	1	9.20588235294
NBA	4	8.28864614366
PingTung	1	7.0814479638
japanavgirls	1	5.45296167247
SuperHeroes	1	5.25167785235
Examination	1	4.80061349693
Kaohsiung	2	3.89303482587
StupidClown	1	3.85467980296
sex	2	3.31041776838
LoL	3	3.21722247602
friends	1	3.04474708171
historia	1	2.9752851711
Test	2	2.82236248873
PlayStation	1	2.56137479542
ask	1	1.77236693092
KoreanPop	1	1.73695893452
Japan_Travel	1	1.49474689589
Palmar_Drama	1	1.19831546708
MobileComm	1	1.06101694915
AllTogether	1	0.922759433962
Drama-Ticket	1	0.715265082267
HatePolitics	1	0.464116251483
Baseball	1	0.209084836339
Wanted	1	0.124920178799
Hate	1	0.0882883899357
