board	degree	nordegree
CMWang	790	291.042843691
Lions	837	278.703191489
Monkeys	853	229.806334997
weiyin	292	114.847951747
Baseball	481	83.1784530387
BaseballNEWS	5568	78.4486577
Rhinos	943	74.253836478
CourtBasebal	48	45.2802893309
BusTimes	44	37.1212938005
Raptors	54	18.4157768577
SportLottery	21	17.5842696629
FAPL	54	16.59336344
Hornets	42	16.5067805123
tutor	16	15.6207111666
tabletennis	36	15.3389599782
GambleGhost	1104	14.9758169368
BLAZERS	33	14.7810532341
G-S-WARRIORS	31	14.5037369208
GO	27	13.3633776091
Thunder	22	12.0595446585
LaClippers	21	11.6625266146
PACERS	21	11.6048728814
MiamiHeat	21	11.3444943045
Cavaliers	17	10.7148610552
Hawks	18	10.6502835539
CN_Entertain	21	10.469894871
sex	23	10.4152199074
Palmar_Drama	18	9.81191222571
NTU	18	9.49763991908
RealMadrid	12	8.10181190682
BoardGame	9	8.07163323782
Japan_Travel	13	7.78905053599
Aviation	10	6.87912087912
TaiwanDrama	12	6.75782655632
FCBarcelona	9	6.66272469253
ChicagoBulls	9	6.66272469253
Gossiping	134	6.65894008192
Examination	8	6.62083553675
Atletico	8	6.19495299357
BB_Online	6	5.81424148607
ID_Problem	6	5.24581005587
Cubs	5	4.96825396825
Nets	6	4.85773409208
Celtics	6	4.74242424242
Mavericks	5	4.66885441527
NBA	13	4.43632795464
Soccer	6	4.43133553563
MLB	7	4.14334341906
Facebook	4	3.70853080569
NYUST	3	2.93254216115
home-sale	4	2.93208430913
Rockets	3	2.81137724551
Wizards	3	2.68285714286
Orl-Magic	3	2.68285714286
Lionel_Messi	3	2.68285714286
LFP	3	2.68285714286
CONCACAF	3	2.68285714286
BVB_09	3	2.68285714286
Argentina	3	2.68285714286
ManCity	3	2.67979452055
Bundesliga	3	2.67979452055
FCBayern	3	2.66913018761
ManUtd	3	2.62437115707
Tennis	3	2.61997767857
SuperHeroes	3	2.52012882448
LoL	9	2.37001514387
movie	6	2.23891273247
Drama-Ticket	5	2.08499866773
S.H.E	2	1.96855345912
LoveLive_Sip	2	1.96361355082
poem	2	1.93090684762
BeautySalon	2	1.80403458213
WomenTalk	7	1.66818943201
Taoyuan	2	1.48411569464
Tainan	3	1.38088235294
Beauty	2	1.1427528295
Dragons	1	0.999361430396
littlehouse	1	0.998086734694
Delivery	1	0.995547073791
postcrossing	1	0.984896161108
Hong_Kong	1	0.982423101067
Hip-Hop	1	0.973864343497
SMSlife	1	0.970843672457
EXO	1	0.970241785493
DSLR	1	0.956601466993
Road_Running	1	0.916276346604
Jeremy_Lin	1	0.907246376812
Chiayi	1	0.898392652124
Wanted	8	0.888384304265
SENIORHIGH	1	0.863686534216
Test	2	0.827385672746
ShuangHe	1	0.82066072365
iPhone	1	0.797249108507
PttEarnMoney	8	0.796133791174
StupidClown	1	0.794013191273
BuyTogether	1	0.619801980198
TaichungBun	1	0.605415860735
mobilesales	1	0.594153378891
BaseballXXXX	1	0.548353188507
C_Chat	2	0.522886735717
BeautyMarket	1	0.483920841064
AllTogether	1	0.479914136768
