board	degree	nordegree
Spain	7	3067.4
Ind-travel	24	2365.98425197
Portugal	3	1083.46153846
travel	17	638.820621469
France	2	569.090909091
poetry	1	521.666666667
Holland	2	481.538461538
Academy_Art	1	223.571428571
Aviation	10	220.422535211
Japan_Travel	12	215.243553009
Food	12	181.59548751
London	1	142.272727273
Brand	1	130.416666667
points	3	129.220183486
Gra-Travels	1	120.384615385
Canada	1	111.785714286
cat	4	100.562248996
isLandTravel	1	48.90625
Hotel	2	47.0676691729
SongShan	2	45.3623188406
Singapore	1	44.7142857143
Perfume	1	36.3953488372
THSRshare	1	22.0422535211
NewYork	1	16.4736842105
Tour-Agency	1	14.3577981651
TaichungBun	3	13.8088235294
Catholic	1	11.0992907801
THU_Talk	1	8.94285714286
FITNESS	1	8.74301675978
e-shopping	1	5.49122807018
Perfume_Shop	1	3.98218829517
Hsinchu	1	2.35692771084
NewActivity	1	2.08111702128
HelpBuy	2	1.80247624532
ask	1	1.77236693092
Kaohsiung	1	0.973258706468
Tainan	1	0.852861035422
Gossiping	4	0.836674685913
Wanted	2	0.499680715198
WomenTalk	1	0.31287485006
