board	degree	nordegree
C_Chat	32	8.36618777147
hairdo	8	7.32592159157
Road_Running	7	6.41393442623
ask	9	5.75367647059
MuscleBeach	6	5.02676659529
Diary	10	5.008
Chiayi	4	3.5935706085
WOW	3	2.59966777409
biker	3	2.19392523364
KitchenUsage	2	1.99490121096
BlizzHeroes	2	1.84009406232
ChungLi	2	1.76736307171
Gossiping	34	1.68958181183
iPhone	2	1.59449821701
ChangHua	2	1.55180961824
Tainan	3	1.38088235294
LoL	5	1.31667507993
Wanted	11	1.22152841836
NIT	1	0.996180776575
UCH	1	0.994282083863
Canada	1	0.991133628879
Pistons	1	0.989254108723
BeautyBody	1	0.986759142497
N_E_Coastal	1	0.981806775408
yoga	1	0.979962429555
Tea	1	0.979349186483
EuropeanCar	1	0.977514053716
Hip-Hop	1	0.973864343497
HandMade	1	0.973864343497
littlegift	1	0.963669950739
WomenTalk	4	0.953251104005
lesbian	1	0.948484848485
Keelung	1	0.931547619048
EuropeTravel	1	0.921130076516
bicycle	1	0.918966529654
Headphone	1	0.90777262181
BeautySalon	1	0.902017291066
I-Lan	1	0.894797026872
japanavgirls	1	0.845032397408
Neihu	1	0.753853564547
movie	2	0.746304244158
Hearthstone	1	0.741003787879
Hsinchu	1	0.702108568865
HatePolitics	2	0.633988251975
TaichungBun	1	0.605415860735
AllTogether	1	0.479914136768
CMWang	1	0.3684086629
