board	degree	nordegree
SuperStar	2	3130.0
TaiwanDrama	34	1490.2306425
SEVENTEEN	26	1441.33514986
APINK	18	774.13740458
KoreanPop	20	694.783573807
VIXX	12	553.71007371
TWICE	16	486.804374241
TW_Entertain	4	313.0
BaseballXXXX	8	77.7036462374
I.O.I	2	30.9900990099
BlockB	2	20.5921052632
Monkeys	7	18.0690386428
YGFamily	2	15.8883248731
Military	2	14.2922374429
SuperJunior	2	11.0796460177
dog	1	8.64640883978
Olympics_ISG	1	7.04954954955
Gossiping	7	2.56231622561
movie	2	2.38113351084
CrossStrait	1	1.98856416773
Kaohsiung	1	0.973258706468
AllTogether	1	0.922759433962
Baseball	2	0.836339345357
HatePolitics	1	0.464116251483
Wanted	1	0.124920178799
