board	degree	nordegree
Salary	4	3.44903581267
Soft_Job	3	2.90892193309
Tech_Job	2	1.72167216722
mobilesales	2	1.4470642626
java	1	0.997450605481
Economics	1	0.997450605481
NTUfin06	1	0.996815286624
NTUfin05	1	0.996815286624
NTUfin04	1	0.994914176732
NTUfin02	1	0.994914176732
NTUfin03	1	0.994282083863
ServiceInfo	1	0.988005050505
TamShui	1	0.9861373661
ForeignEX	1	0.979349186483
Eng-Class	1	0.97507788162
VIXX	1	0.974470734745
MoveHouse	1	0.973864343497
Insurance	1	0.968440594059
Keelung	1	0.954850518609
Taoyuan	1	0.845032397408
Wanted	1	0.495253164557
forsale	1	0.360516010136
