board	degree	nordegree
PublicIssue	13	382.203757225
Pet_Get	2	164.736842105
sex	7	40.5526176626
money	1	30.6862745098
MabinogiHero	1	26.9827586207
Contacts	1	26.0833333333
Live	2	20.4575163399
Browsers	1	19.3209876543
Google	1	17.7840909091
Windows	1	14.9047619048
IA	4	11.6465116279
dog	1	8.64640883978
Stock	2	7.2706155633
japanavgirls	1	5.45296167247
Gossiping	8	3.34669874365
Tech_Job	1	2.96401515152
home-sale	1	2.74561403509
MenTalk	2	1.86254091044
TaiwanDrama	1	1.28912685338
Tainan	1	0.852861035422
movie	1	0.59528337771
HatePolitics	1	0.464116251483
LoL	1	0.357469164002
WomenTalk	1	0.31287485006
