board	degree	nordegree
Japan_Travel	124	74.2955589587
travel	78	53.7043554773
Taipei	67	53.3884928717
Hsinchu	49	34.4033198744
Ind-travel	38	30.5601233299
Tainan	62	28.5382352941
ChangHua	34	26.3807635102
Daan	29	25.8751425314
Tai-travel	26	23.4659746251
I-Lan	25	22.3699256718
TaichungBun	35	21.1895551257
Chiayi	23	20.6630309989
Kaohsiung	40	19.7289631264
Zhongshan	21	19.5741512805
HsinYi	20	18.8100961538
SongShan	18	16.5413975338
Hotel	17	15.6684334511
PingTung	16	14.0201567749
Miaoli	15	13.6641443539
ShuangHe	16	13.1305715784
EuropeTravel	12	11.0535609182
CAFENCAKE	11	10.8134422111
Korea_Travel	10	9.21672555948
cookclub	10	9.14669783752
BabyMother	12	8.9216152019
SuperTaste	9	8.78665003119
Zhongzheng	9	8.66236162362
BigPeitou	9	8.44424460432
China_travel	9	8.22721962617
forsale	96	7.25551745786
TaichungCont	7	6.69211973122
BigSanchung	7	5.95704187058
Taoyuan	8	5.93646277857
Spain	6	5.90566037736
TamShui	6	5.88714733542
Nantou	6	5.57600950119
BigShiLin	6	5.47202797203
BigBanciao	6	5.04567436862
Bingo	5	4.9556681444
Nightmarket	5	4.95253164557
vitalitydiet	5	4.94939911448
Mix_Match	5	4.93379571248
Snacks	5	4.90595611285
shoes	5	4.80356046654
Key_Mou_Pad	5	4.49971247844
ChungLi	5	4.41840767928
home-sale	6	4.3981264637
Aviation	6	4.12747252747
Coffee	4	3.78019323671
NewYork	4	3.77108433735
Yunlin	4	3.7239738251
HsinTien	4	3.69976359338
Wen-Shan	4	3.69321533923
NTU	6	3.16587997303
Neihu	4	3.01541425819
railtour	3	2.99235181644
Kitty_Sanrio	3	2.98854232973
SFGiants	3	2.9847425302
Portugal	3	2.9752851711
MacShop	5	2.9673871824
N_E_Coastal	3	2.94542032622
Powerful_PRO	3	2.93988728867
Thailand	3	2.93621013133
EatToDie	3	2.92888334373
Taitung	3	2.92523364486
fastfood	3	2.90892193309
PH-sea	3	2.86980440098
stationery	3	2.85063752277
graduate	3	2.80298507463
Post	3	2.61705685619
cat	3	2.58820286659
HsinChuang	3	2.55163043478
Gossiping	44	2.18651763884
Diary	4	2.0032
maruko	2	1.99236155315
Datong	2	1.96484620213
DC	2	1.95992485911
Aussiekiwi	2	1.94772868699
love-vegetal	2	1.93090684762
WorkanTravel	2	1.89352692075
MakeUp	2	1.84660766962
BeautySalon	2	1.80403458213
dog	2	1.79266895762
MLB	3	1.77571860817
WomenTalk	7	1.66818943201
ask	2	1.27859477124
HelpBuy	4	1.24255657007
give	2	1.13611615245
ShowOff	1	0.999361430396
MAJOR	1	0.998723675814
MACAU	1	0.995547073791
Seattle	1	0.993650793651
Shooter-game	1	0.991133628879
NextTopModel	1	0.986759142497
IGuanTao	1	0.984896161108
Stall	1	0.98427672956
Actuary	1	0.983658076681
isLandTravel	1	0.979962429555
NailSalon	1	0.979962429555
DigitalMusic	1	0.978736710444
Jewelry	1	0.974470734745
studyabroad	1	0.958946078431
VR	1	0.958946078431
Soft_Job	1	0.956601466993
TuCheng	1	0.93824940048
points	1	0.934886499403
Keelung	1	0.931547619048
toberich	1	0.913601868068
Jeremy_Lin	1	0.907246376812
Bus	1	0.845945945946
Lifeismoney	1	0.821953781513
Steam	1	0.808367768595
StupidClown	1	0.794013191273
part-time	1	0.72153065929
MobileComm	1	0.514802631579
AllTogether	1	0.479914136768
movie	1	0.373152122079
LoL	1	0.263335015985
