board	degree	nordegree
Bank_Service	10	9.07246376812
creditcard	10	7.77446597119
Lifeismoney	6	4.93172268908
MacShop	4	2.37390974592
IC-Card	2	1.87089061566
juniorhigh	2	1.86198691255
V_ScHooL	2	1.85646500593
China_travel	2	1.82827102804
e-coupon	2	1.33932391955
Economics	1	0.997450605481
Fund	1	0.994282083863
Trading	1	0.991761723701
teeth_salon	1	0.978125
Finance	1	0.977514053716
CFP	1	0.97629444791
hypermall	1	0.958358848745
Shu-Lin	1	0.954850518609
Insurance	1	0.952525867316
Option	1	0.951367781155
marriage	1	0.822818086225
Salary	1	0.736470588235
Boy-Girl	1	0.688820422535
Stock	1	0.645094806265
sex	1	0.452835648148
forsale	4	0.302313227411
Gossiping	3	0.149080748103
