board	degree	nordegree
Raptors	180	61.385922859
Hornets	142	55.8086388749
FAPL	180	55.3112114667
tabletennis	120	51.1298665941
BLAZERS	111	49.7180881511
GO	90	44.5445920304
Thunder	71	38.9194395797
LaClippers	70	38.8750887154
PACERS	70	38.6829096045
MiamiHeat	70	37.8149810148
Hawks	60	35.5009451796
CN_Entertain	70	34.8996495699
Palmar_Drama	60	32.7063740857
NTU	60	31.6587997303
Cavaliers	50	31.5142972211
RealMadrid	40	27.0060396894
FCBarcelona	30	22.2090823084
ChicagoBulls	30	22.2090823084
Nets	20	16.1924469736
Celtics	20	15.8080808081
Atletico	20	15.4873824839
Soccer	20	14.7711184521
Wizards	10	8.94285714286
Orl-Magic	10	8.94285714286
Lionel_Messi	10	8.94285714286
LFP	10	8.94285714286
CONCACAF	10	8.94285714286
BVB_09	10	8.94285714286
Argentina	10	8.94285714286
ManCity	10	8.93264840183
Bundesliga	10	8.93264840183
FCBayern	10	8.89710062536
ManUtd	10	8.7479038569
SuperHeroes	10	8.40042941492
MLB	10	5.91906202723
Elephants	31	3.6043833581
Rhinos	20	1.5748427673
HomeTeach	1	0.967841682127
Jeremy_Lin	1	0.907246376812
BigBanciao	1	0.840945728103
NBA	2	0.682511993022
joke	1	0.467582910069
Gossiping	7	0.347855078906
Baseball	2	0.345856353591
