board	degree	nordegree
PlayStation	32	27.930842164
HardwareSale	35	27.6781202628
forsale	48	17.3047684865
MacShop	22	17.3015075377
mobilesales	17	12.3000462321
XBOX	8	7.83969943644
HelpBuy	11	7.69901610018
Gossiping	27	6.49876960935
DC_SALE	7	6.41769185706
Japan_Travel	8	6.38775510204
FAPL	5	4.39853850478
Wanted	8	3.96202531646
AC_Sale	4	3.89545737399
aqua-shop	4	3.8665843113
Headphone	4	3.79624014554
StupidClown	4	3.69103773585
C_Chat	6	3.66367538041
streetfight	3	2.96401515152
Digitalhome	3	2.93071161049
ClashRoyale	3	2.90712074303
Audiophile	3	2.89279112754
tax	3	2.88567916411
watch	3	2.86280487805
Key_Mou_Pad	3	2.84200968523
Baseball	5	2.82695086705
GossipPicket	3	2.82490974729
Steam	3	2.79131985731
BigBanciao	3	2.72489843297
nb-shopping	3	2.67521367521
Hate	4	2.32886904762
TaichungBun	3	2.21566776782
AllTogether	3	2.17562557924
WomenTalk	4	2.1675900277
Tainan	3	2.16658975542
Powerful_PRO	2	1.97725837018
Pedal	2	1.95992485911
LoL	3	1.94249069094
DiabloEX	2	1.93090684762
Yunlin	2	1.9226044226
MAC	2	1.91437308869
Keelung	2	1.90970103722
car-pool	2	1.89238210399
E-appliance	2	1.88440698374
AC_In	2	1.86198691255
Perfume_Shop	2	1.84988179669
PC_Shopping	2	1.82827102804
equal_change	2	1.76736307171
biker	2	1.76736307171
home-sale	2	1.76536943034
part-time	2	1.71789242591
car	2	1.68098818475
BeautyMarket	2	1.61174047374
give	2	1.57128514056
Kaohsiung	2	1.56343656344
Rockman	1	0.998723675814
AAA	1	0.998723675814
SurvivalGame	1	0.998086734694
Ame_Casual	1	0.998086734694
puzzle	1	0.996815286624
Nationals	1	0.996815286624
Bluetooth	1	0.996815286624
YUGIOH	1	0.996180776575
RomanceGame	1	0.995547073791
PSP-PSV	1	0.994914176732
LCD	1	0.994282083863
MLB_Jersey	1	0.993650793651
Hiking	1	0.993650793651
ChainChron	1	0.993020304569
Bioindustry	1	0.993020304569
AskBoard	1	0.993020304569
SevenKnights	1	0.992390615092
Philippines	1	0.991761723701
WhiteCat	1	0.991133628879
PokeMon	1	0.989879822897
GraduateCram	1	0.988629185092
Physics	1	0.98738170347
NDS	1	0.986759142497
Loan	1	0.985516372796
Perfume	1	0.982423101067
poem	1	0.981191222571
photo-buy	1	0.980576441103
PVC-GK	1	0.979962429555
model	1	0.978125
mobile-game	1	0.978125
SuperBike	1	0.976903870162
NightLife	1	0.973258706468
littlegift	1	0.972049689441
hardware	1	0.972049689441
Scorpio	1	0.968440594059
DSLR	1	0.967243510507
DIABLO	1	0.967243510507
battlegirlhs	1	0.966646077826
Windows	1	0.963076923077
Tour-Agency	1	0.962484624846
ToS	1	0.960122699387
Teacher	1	0.959534028204
Post	1	0.957186544343
Bank_Service	1	0.957186544343
BigShiLin	1	0.956017104459
Nantou	1	0.954850518609
BoardGame	1	0.953105968331
bicycle	1	0.952525867316
NBA_Film	1	0.946191051995
V_ScHooL	1	0.945619335347
gay	1	0.937687237867
PingTung	1	0.937687237867
BigSanchung	1	0.929887106358
marriage	1	0.92221567472
creditcard	1	0.909355026148
Lifeismoney	1	0.906195715113
cat	1	0.903579676674
Palmar_Drama	1	0.891737891738
e-coupon	1	0.87675070028
Beauty	1	0.875279642058
Railway	1	0.870411568409
travel	1	0.849158979924
Taoyuan	1	0.845032397408
Hsinchu	1	0.832004253057
Drama-Ticket	1	0.821953781513
Rhinos	1	0.819800942902
ask	1	0.811301192328
sex	1	0.781328007988
MobileComm	1	0.776674937965
HatePolitics	1	0.721198156682
movie	1	0.676610462603
