board	degree	nordegree
Pisces	4	3.90517779164
Taurus	3	2.95097423004
Leo	2	1.95137157107
Virgo	2	1.94894146949
Scorpio	2	1.93688118812
humanity	1	0.998723675814
Arthropoda	1	0.996815286624
firsttime	1	0.993650793651
Hamster	1	0.993020304569
Wanted	2	0.990506329114
PublicServan	1	0.983040201005
Pet_Get	1	0.981806775408
Libra	1	0.97629444791
Capricornus	1	0.97629444791
Aries	1	0.975685785536
Sagittarius	1	0.974470734745
Cancer	1	0.970241785493
Zastrology	1	0.968440594059
Salary	1	0.862258953168
Hsinchu	1	0.832004253057
Kaohsiung	1	0.781718281718
