board	degree	nordegree
MenTalk	16	12.371541502
Gossiping	30	7.2208551215
talk	4	3.38012958963
TNFSH102nd	3	2.95283018868
L_TalkandCha	3	2.89636027144
FAPL	3	2.63912310287
Japan_Travel	3	2.39540816327
Gamesale	3	2.36881937437
sex	3	2.34398402396
Hate	4	2.32886904762
ID_Multi	2	1.95747342089
ID_Problem	2	1.94651741294
HatePolitics	2	1.44239631336
Baseball	2	1.13078034682
UniversityTV	1	0.994282083863
Ptt-Press	1	0.993650793651
Wei-Lun	1	0.991761723701
PttNewhand	1	0.980576441103
Pisces	1	0.97629444791
Sijhih	1	0.967243510507
Nangang	1	0.962484624846
cookclub	1	0.95021250759
PC_Shopping	1	0.914135514019
home-sale	1	0.882684715172
Beauty	1	0.875279642058
Boy-Girl	1	0.85332606325
Rhinos	1	0.819800942902
joke	1	0.786432160804
MobileComm	1	0.776674937965
LoL	1	0.64749689698
C_Chat	1	0.610612563402
