board	degree	nordegree
TAROT	2	208.666666667
Tea	2	189.696969697
Natal	1	142.272727273
Hamster	1	120.384615385
Sewing	1	104.333333333
Stall	1	62.6
e-shopping	3	49.4210526316
Nangang	2	48.90625
NailSalon	1	48.90625
MoveHouse	1	23.7121212121
give	3	11.8361344538
BabyMother	2	11.5925925926
CVS	1	11.3405797101
cookclub	1	10.7191780822
toberich	1	10.5743243243
FITNESS	1	8.74301675978
dog	1	8.64640883978
Plant	1	7.24537037037
BigBanciao	1	5.28716216216
MuscleBeach	1	5.16501650165
BabyProducts	2	4.11300919842
ChangHua	1	3.46238938053
Tainan	2	3.41144414169
Chat82gether	1	1.83255269321
ask	1	1.77236693092
forsale	3	0.735816529098
LoL	1	0.357469164002
WomenTalk	1	0.31287485006
PttEarnMoney	1	0.110514794153
Gossiping	1	0.0522921678696
