board	degree	nordegree
Raptors	108	6036.42857143
FAPL	108	5174.08163265
Hornets	84	4568.73810509
tabletennis	72	3848.65275142
BLAZERS	66	3534.02799378
G-S-WARRIORS	60	3165.16853933
GO	54	2857.57044458
LaClippers	42	2203.24022346
PACERS	42	2178.89502762
Thunder	42	2140.04651163
MiamiHeat	42	2072.56756757
CN_Entertain	42	1753.91359593
Palmar_Drama	36	1553.01684533
Cavaliers	30	1534.31372549
NTU	36	1447.70877944
RealMadrid	24	1197.1314741
FCBarcelona	18	923.606557377
ChicagoBulls	18	923.606557377
Nets	12	612.391304348
Celtics	12	543.036144578
Atletico	12	494.210526316
Soccer	12	406.78700361
Wizards	6	304.540540541
Orl-Magic	6	304.540540541
Lionel_Messi	6	304.540540541
LFP	6	304.540540541
CONCACAF	6	304.540540541
BVB_09	6	304.540540541
Argentina	6	304.540540541
ManCity	6	301.28342246
Bundesliga	6	301.28342246
FCBayern	6	290.412371134
ManUtd	6	251.517857143
SuperHeroes	6	189.060402685
MLB	6	52.2150139018
Elephants	18	42.6279949559
Rhinos	12	12.3080283998
