board	degree	nordegree
HardwareSale	7	5.53562405255
Gamesale	4	3.15842583249
MobileComm	4	3.10669975186
MacShop	3	2.35929648241
Audiophile	2	1.92852741836
watch	2	1.90853658537
Key_Mou_Pad	2	1.89467312349
MLB	2	1.81765389082
Lifeismoney	2	1.81239143023
nb-shopping	2	1.78347578348
home-sale	2	1.76536943034
Baseball	3	1.69617052023
Gossiping	6	1.4441710243
HelpBuy	2	1.39982110912
newagemusic	1	0.997450605481
MLB-TW	1	0.994914176732
DragonBall	1	0.994914176732
SwimWear	1	0.993020304569
clmusic	1	0.990506329114
Broad_Band	1	0.989879822897
LightNovel	1	0.989254108723
EatToDie	1	0.986759142497
Sony-style	1	0.984896161108
LivingGoods	1	0.98427672956
Jewelry	1	0.98427672956
Pedal	1	0.979962429555
medstudent	1	0.979349186483
Road_Running	1	0.970843672457
guitar	1	0.970241785493
DSLR	1	0.967243510507
DIABLO	1	0.967243510507
L_TalkandCha	1	0.965453423812
Windows	1	0.963076923077
MAC	1	0.957186544343
FITNESS	1	0.953686776356
EAseries	1	0.948484848485
toberich	1	0.93824940048
MuscleBeach	1	0.937125748503
Android	1	0.936004784689
Perfume_Shop	1	0.924940898345
creditcard	1	0.909355026148
cat	1	0.903579676674
PlayStation	1	0.872838817624
Aviation	1	0.863686534216
car	1	0.840494092374
Drama-Ticket	1	0.821953781513
BabyProducts	1	0.800511508951
TaichungBun	1	0.738555922605
mobilesales	1	0.723532131299
forsale	2	0.721032020272
movie	1	0.676610462603
LoL	1	0.64749689698
C_Chat	1	0.610612563402
Wanted	1	0.495253164557
