board	degree	nordegree
NewActivity	26	1406.83510638
eat-disorder	1	223.571428571
Psychiatry	2	113.818181818
part-time	6	93.2781456954
Pharmacy	1	62.6
elderly	1	57.962962963
BikerShop	6	57.4311926606
Child_Psy	1	42.2972972973
Doctor-Info	1	36.3953488372
Keelung	1	13.6086956522
Road_Running	1	10.9440559441
prozac	1	9.78125
Android	1	9.20588235294
Eng-Class	1	9.15204678363
GetMarry	1	6.83406113537
cat	1	6.28514056225
MuscleBeach	1	5.16501650165
Lifeismoney	1	4.61651917404
PC_Shopping	1	4.16223404255
Tech_Job	1	2.96401515152
car	1	1.58400809717
MobileComm	1	1.06101694915
