board	degree	nordegree
hotspring	2	1252.0
Ind-travel	13	694.186351706
travel	16	565.875706215
Matsu	1	521.666666667
Food	17	364.452054795
Japan_Travel	14	292.970391595
NewYork	4	263.578947368
YMPT95	1	260.833333333
TTU-COMM	1	260.833333333
FJU_ADBA	1	260.833333333
Academy_Art	1	223.571428571
isLandTravel	2	195.625
Thailand	2	184.117647059
Singapore	2	178.857142857
EatToDie	2	164.736842105
London	1	142.272727273
Philippines	1	120.384615385
Gra-Travels	1	120.384615385
Chiayi	3	79.5762711864
ZCLUB	1	74.5238095238
LinKou	2	62.6
Tour-Agency	2	57.4311926606
Nantou	2	52.6050420168
EuropeTravel	2	46.7164179104
China_travel	2	42.5850340136
Tai-travel	2	37.0414201183
Aviation	4	35.2676056338
I-Lan	2	34.0217391304
BabyMother	3	26.0833333333
HsinYi	1	15.8080808081
points	1	14.3577981651
Hualien	1	13.8495575221
SongShan	1	11.3405797101
BeautySalon	1	9.20588235294
Kaohsiung	3	8.75932835821
GetMarry	1	6.83406113537
HsinChuang	1	5.69090909091
Bus	1	5.49122807018
MuscleBeach	1	5.16501650165
Taipei	1	3.92230576441
Tainan	2	3.41144414169
WomenTalk	3	2.81587365054
TaichungBun	1	1.53431372549
forsale	4	1.30811827395
IA	1	0.727906976744
Gossiping	2	0.209168671478
