board	degree	nordegree
SuperTaste	4	658.947368421
Food	20	504.43190975
Taipei	10	392.230576441
SFGiants	1	195.625
SongShan	4	181.449275362
Tainan	9	69.0817438692
Songs	1	57.962962963
Snacks	1	52.1666666667
FongShan	1	52.1666666667
Nangang	2	48.90625
BigShiLin	2	41.4569536424
Daan	2	33.1216931217
San-Ying	1	32.6041666667
Zhongzheng	1	25.6557377049
Japan_Travel	4	23.9159503343
forsale	13	13.8169992686
Zhongshan	1	13.7280701754
HsinTien	1	12.3228346457
Neihu	2	12.2504892368
Hotel	1	11.7669172932
travel	2	8.8418079096
I-Lan	1	8.50543478261
PingTung	1	7.0814479638
BigSanchung	1	5.71167883212
e-shopping	1	5.49122807018
BigBanciao	1	5.28716216216
Rent_tao	1	3.58944954128
ask	1	1.77236693092
TaichungBun	1	1.53431372549
MLB	1	1.45041705283
Kaohsiung	1	0.973258706468
Hate	3	0.794595509421
HelpBuy	1	0.45061906133
WomenTalk	1	0.31287485006
Wanted	1	0.124920178799
