board	degree	nordegree
HC-CDJH	3	4695.0
Food	49	3027.85253828
Cobras	2	2086.66666667
Bingo	4	1788.57142857
Nightmarket	4	1669.33333333
vitalitydiet	4	1565.0
CAFENCAKE	5	1449.07407407
Gossiping	134	938.958166266
elderly	4	927.407407407
BabyProducts	25	642.657687254
finding	2	626.0
pet	3	541.730769231
Drink	4	532.765957447
LHU	1	521.666666667
Nurse	4	391.25
EngTalk	1	391.25
car-pool	6	349.937888199
travel	12	318.305084746
cat	7	307.97188755
biker	10	272.173913043
Pharmacy	2	250.4
WomenTalk	28	245.293882447
EAseries	5	243.01242236
BabyMother	9	234.75
Salary	9	226.366071429
MenTalk	22	225.367450164
INSECT	1	223.571428571
BoardGame	5	217.361111111
Nantou	4	210.420168067
Wine	2	208.666666667
Japan_Living	1	195.625
CATCH	4	176.338028169
UCH	1	173.888888889
Lifeismoney	6	166.194690265
BigShiLin	4	165.82781457
outdoorgear	1	156.5
Japan_Travel	10	149.474689589
France	1	142.272727273
dog	4	138.342541436
GUNDAM	2	136.086956522
piano	1	130.416666667
feminine_sex	1	130.416666667
rent-exp	2	125.2
Holland	1	120.384615385
Drama	1	120.384615385
Refresh	5	114.400584795
MAC	3	110.0390625
littlegift	2	106.101694915
bicycle	3	102.065217391
mobilesales	8	93.6950420954
TaichungCont	2	86.9444444444
ask	7	86.8459796149
Chiayi	3	79.5762711864
Examination	4	76.8098159509
I-Lan	3	76.5489130435
TaichungBun	7	75.181372549
Tech_Job	5	74.1003787879
Marketing	1	71.1363636364
learnyf	4	69.3628808864
Kaohsiung	8	62.2885572139
StarCraft	1	60.1923076923
Life	2	59.0566037736
Calendar	2	57.962962963
MayDay	1	57.962962963
graduate	2	56.9090909091
Old-Games	2	55.8928571429
TaiShan	1	53.9655172414
NDS	1	50.4838709677
PSY	1	48.90625
Loan	1	47.4242424242
LivingGoods	1	47.4242424242
give	6	47.3445378151
Taoyuan	4	46.0294117647
Thailand	1	46.0294117647
Salesperson	1	43.4722222222
Interior	1	42.2972972973
Child_Psy	1	42.2972972973
part-time	4	41.4569536424
car	5	39.6002024291
Doctor-Info	1	36.3953488372
Aves	1	35.5681818182
Taipei	3	35.3007518797
E-appliance	2	34.5856353591
Gemini	1	34.0217391304
San-Ying	1	32.6041666667
equal_change	4	32.3514211886
BB_Online	1	31.3
ChungLi	2	30.3883495146
Baseball	12	30.1082164329
forsale	19	29.5144185561
model	1	28.4545454545
love-vegetal	1	27.9464285714
BuyTogether	4	26.0833333333
SportsShop	2	25.140562249
Storage_Zone	1	24.0769230769
MacShop	4	23.3582089552
hypermall	1	23.0147058824
PH-sea	1	22.0422535211
Bus	2	21.9649122807
movie	6	21.4302015976
TW_Entertain	1	19.5625
Browsers	1	19.3209876543
PC_Shopping	2	16.6489361702
Chat82gether	3	16.4929742389
Ind-travel	2	16.4304461942
iPhone	2	15.7286432161
LinKou	1	15.65
TuCheng	1	15.1941747573
BigPeitou	1	15.1941747573
Rent_tao	2	14.3577981651
points	1	14.3577981651
TAXI	1	13.8495575221
Keelung	1	13.6086956522
sex	4	13.2416710735
HsinTien	1	12.3228346457
aqua-shop	1	11.7669172932
EuropeTravel	1	11.6791044776
CarShop	1	11.5925925926
China-Drama	1	11.2589928058
home-sale	2	10.9824561404
Miaoli	1	10.2287581699
Militarylife	2	9.32935916542
Tai-travel	1	9.26035502959
BeautySalon	1	9.20588235294
Android	1	9.20588235294
Rent_apart	1	9.0988372093
FITNESS	1	8.74301675978
e-coupon	2	8.10880829016
Plant	1	7.24537037037
PingTung	1	7.0814479638
HsinChuang	1	5.69090909091
BigBanciao	1	5.28716216216
barterbooks	2	5.11437908497
Wanted	6	4.49712643678
MobileComm	2	4.24406779661
Perfume_Shop	1	3.98218829517
creditcard	1	3.49330357143
ChangHua	1	3.46238938053
Neihu	1	3.0626223092
Drama-Ticket	2	2.86106032907
Aviation	1	2.20422535211
NBA	2	2.07216153592
Stock	1	1.81765389082
HelpBuy	2	1.80247624532
LoL	2	1.42987665601
C_Chat	2	1.41596923773
talk	2	1.26849037487
Gamesale	1	1.09211444522
AllTogether	1	0.922759433962
Tainan	1	0.852861035422
Lions	1	0.499202551834
HatePolitics	1	0.464116251483
Clothes	1	0.247079254815
Hate	1	0.0882883899357
Rhinos	1	0.0854724194429
