board	degree	nordegree
Suckcomic	16	13.9343350028
Hearthstone	17	12.5970643939
ONE_PIECE	9	7.85993303571
NTU	12	6.33175994606
C_Chat	23	6.01319746074
marriage	7	5.75972660358
WomenTalk	18	4.28962996802
TORIKO	4	3.90761548065
BL	4	3.90761548065
BB-Love	4	3.89788293898
Gossiping	76	3.77671228527
joke	8	3.74066328055
movie	10	3.73152122079
PttLifeLaw	3	2.85063752277
Google	3	2.84029038113
AC_Sale	3	2.82151442308
LoL	10	2.63335015985
Test	6	2.48215701824
SMSlife	2	1.94168734491
TW_Entertain	2	1.90273556231
HatePolitics	5	1.58497062994
NBA	4	1.36502398604
ck57th309	1	0.999361430396
KINGDOM	1	0.999361430396
BLEACH	1	0.998086734694
Expansion07	1	0.996180776575
RomanceGame	1	0.995547073791
TokyoGhoul	1	0.994914176732
SailorMoon	1	0.970843672457
GraduateCram	1	0.967243510507
Storage_Zone	1	0.960122699387
stationery	1	0.95021250759
DIABLO	1	0.937125748503
PuzzleDragon	1	0.936004784689
CATCH	1	0.916813122437
book	1	0.904101675332
LoL_Picket	1	0.865597345133
AC_In	1	0.818086774699
PC_Shopping	1	0.806285419887
Tech_Job	1	0.747730530339
Boy-Girl	1	0.688820422535
Aviation	1	0.687912087912
car	1	0.613004308656
MobileComm	1	0.514802631579
MenTalk	1	0.317701989444
Baseball	1	0.172928176796
