board	degree	nordegree
Food	8	6.31685166498
cat	4	3.6143187067
Datong	2	1.98604060914
Hualien	2	1.92142418662
BigShiLin	2	1.91203420892
Taipei	2	1.82827102804
Neihu	2	1.82400932401
MLB	2	1.81765389082
biker	2	1.76736307171
part-time	2	1.71789242591
travel	2	1.69831795985
Gossiping	7	1.68486619502
car	2	1.68098818475
Hsinchu	2	1.66400850611
WomenTalk	3	1.62569252078
Japan_Travel	2	1.59693877551
TaichungBun	2	1.47711184521
forsale	4	1.44206404054
HelpBuy	2	1.39982110912
movie	2	1.35322092521
Baseball	2	1.13078034682
EngTalk	1	0.998086734694
Vietnam	1	0.994914176732
MayDay	1	0.993650793651
N_E_Coastal	1	0.991761723701
Jolin	1	0.988629185092
pet	1	0.9861373661
need_student	1	0.985516372796
JOB-Hunting	1	0.98427672956
Salesperson	1	0.983040201005
PublicServan	1	0.983040201005
Pet_Get	1	0.981806775408
share	1	0.979349186483
San-Ying	1	0.977514053716
PH-sea	1	0.971446306642
Road_Running	1	0.970843672457
HsinYi	1	0.967243510507
Zhongshan	1	0.965453423812
Nangang	1	0.962484624846
BigPeitou	1	0.961893054702
Navy	1	0.958358848745
FITNESS	1	0.953686776356
Hotel	1	0.948484848485
car-pool	1	0.946191051995
MakeUp	1	0.943339361061
E-appliance	1	0.942203491872
toberich	1	0.93824940048
PingTung	1	0.937687237867
marvel	1	0.933770883055
BeautySalon	1	0.933770883055
dog	1	0.932657926103
DC_SALE	1	0.916813122437
Rent_tao	1	0.915204678363
HsinChuang	1	0.913601868068
e-coupon	1	0.87675070028
Salary	1	0.862258953168
Taoyuan	1	0.845032397408
Rhinos	1	0.819800942902
BabyProducts	1	0.800511508951
HardwareSale	1	0.790803436079
NBA	1	0.770935960591
mobilesales	1	0.723532131299
Tainan	1	0.722196585141
Wanted	1	0.495253164557
